a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
47209.648, 47210.864598666914, 47210.89791623856, 47211.89783016951, 47211.91449250688, 47212.33111790622, 47212.34781377177, 47213.34770663009, 47213.44044371434, 47214.614304393144, 3.1824394846096045, 0.8355363367346939, 1.6494484693877554, 2.525410132409428, 0.8548933827160495, 1.6003140740740733, 1.2726643712776144, 0.8660601935483867, 1.512049677419355, 2.6525535994353966, 0.7818678571428572, 1.2619322077922075, 3.0531445499379903, 0.9087565326086959, 1.2230558695652172, 47209.55924549999, 13.0128, 12.9485, 14.7402, 16.6993, 0.825205, 1.43158, 57.4008, 47210.7652455, 12.8046, 12.6598, 15.0409, 16.8959, 0.744894, 1.69137, 57.4011, 47210.8052455, 12.8046, 12.701, 14.9268, 16.7456, 0.749952, 1.6178, 57.178, 47211.8082455, 12.7649, 12.8763, 14.8646, 16.8844, 0.928351, 1.5964, 57.3902, 47211.8372455, 12.8641, 12.9485, 14.9061, 16.8381, 0.875828, 1.54587, 57.5567, 47212.23724549999, 12.9335, 12.9588, 14.8024, 16.7687, 0.86644, 1.48239, 57.4634, 47212.260245499994, 12.8641, 12.9691, 14.8128, 16.7687, 0.897381, 1.50181, 57.4146, 47213.2612455, 13.2608, 13.1031, 14.6262, 16.3524, 0.683811, 1.20714, 57.3425, 47213.3412455, 13.2112, 13.1031, 14.564, 16.3986, 0.753579, 1.21734, 57.277, 47214.531245499995, 13.0823, 13.2784, 14.4811, 16.4449, 0.942579, 1.1954, 57.2866
47208.624, 47209.840630607854, 47209.85727609944, 47210.85720650465, 47210.87386885887, 47211.29050717541, 47211.30717478093, 47212.707077658815, 47212.72403906541, 47213.823669381476, 3.0060785409032262, 0.8942499479166671, 1.3532450000000005, 2.7675309830470534, 0.8334008292682927, 1.6920297560975617, 1.1056111266446629, 0.786281361111111, 1.5928288888888888, 3.686188265313436, 0.8773643211009177, 1.5109908256880735, 2.9619632612633735, 0.7684247411764707, 1.2024047058823533, 47208.5342455, 13.2112, 13.1546, 14.4811, 16.5374, 0.871211, 1.21619, 57.3844, 47209.75624549999, 12.9533, 12.9072, 14.761, 16.7918, 0.864238, 1.48718, 57.4134, 47209.7592455, 12.9533, 12.9072, 14.761, 16.7918, 0.864238, 1.48718, 57.4134, 47210.7652455, 12.8046, 12.6598, 15.0409, 16.8959, 0.744894, 1.69137, 57.4011, 47210.7892455, 12.7847, 12.6804, 15.0409, 16.8034, 0.723374, 1.66966, 57.3094, 47211.196245499996, 12.8541, 12.8041, 14.9268, 16.8844, 0.829792, 1.60596, 57.4694, 47211.2162455, 12.755, 12.7835, 14.9372, 16.8497, 0.84649, 1.63498, 57.3253, 47212.6132455, 13.1021, 13.1753, 14.564, 16.3871, 0.828347, 1.22502, 57.2285, 47212.633245499994, 13.1517, 13.1959, 14.5848, 16.3408, 0.785816, 1.19899, 57.2731, 47213.734245499996, 13.1021, 13.2577, 14.4915, 16.4333, 0.915384, 1.19534, 57.2846
47213.839, 47215.05564371632, 47215.0723294508, 47216.07228512176, 47216.08892469228, 47216.70554058881, 47216.72219272185, 47218.32209400469, 47218.33922612552, 47219.27202484107, 3.2439207592486956, 0.9516654255319145, 1.2302553191489363, 2.9049546951999825, 0.9087356097560977, 1.3352042682926828, 1.7345013751006697, 0.9334348431372549, 1.4318549019607842, 4.4620501413873725, 0.9261766046511626, 1.4244645736434105, 2.0573766486488907, 0.9047860563380282, 1.4316184507042253, 47213.7552455, 13.0426, 13.268, 14.5122, 16.4333, 0.937274, 1.21425, 57.2562, 47214.961245499995, 13.0624, 13.1959, 14.5433, 16.5721, 0.942186, 1.26986, 57.3737, 47214.9792455, 13.0624, 13.1856, 14.5433, 16.5837, 0.94271, 1.27555, 57.375, 47215.976245499995, 12.9137, 13.0515, 14.678, 16.734, 0.955892, 1.42396, 57.3773, 47216.0132455, 12.9335, 13.0412, 14.7506, 16.6878, 0.890431, 1.42746, 57.4131, 47216.6082455, 12.8145, 13.1237, 14.7506, 16.7224, 0.993308, 1.44611, 57.4112, 47216.622245499995, 12.9037, 13.0722, 14.8024, 16.6299, 0.869182, 1.4257, 57.4083, 47218.23524549999, 12.8938, 12.9588, 14.7299, 16.6184, 0.853762, 1.44115, 57.2008, 47218.2422455, 12.8839, 12.9897, 14.7195, 16.6068, 0.871104, 1.42991, 57.1999, 47219.181245499996, 12.9236, 13.1546, 14.678, 16.549, 0.917017, 1.34773, 57.3052
47219.288, 47220.40456710402, 47220.42125902412, 47220.82121509579, 47220.83788920207, 47221.3545146228, 47221.37117978001, 47222.37111561093, 47222.38814848099, 47223.67102800196, 3.340074223576432, 0.8473408229166665, 1.4028357291666669, 0.75248861438615, 0.7833307, 1.3809913333333335, 1.588670934929586, 0.8399253684210525, 1.4154615789473681, 2.675323201209569, 0.8820411139240512, 1.459292405063292, 3.9463750793853594, 0.8507139009900988, 1.4340566336633656, 47219.1912455, 12.8839, 13.1649, 14.6262, 16.5374, 0.957939, 1.341, 57.2125, 47220.30724549999, 12.9732, 13.0619, 14.7195, 16.5374, 0.831965, 1.36718, 57.2919, 47220.3242455, 13.0029, 13.0515, 14.7506, 16.4565, 0.765994, 1.34976, 57.2615, 47220.732245499996, 12.9137, 13, 14.9165, 16.6299, 0.783074, 1.47043, 57.46, 47220.749245499996, 12.9236, 13.0619, 14.8543, 16.5605, 0.803378, 1.41882, 57.4002, 47221.2632455, 12.8046, 12.9588, 14.8543, 16.6646, 0.85741, 1.50717, 57.2822, 47221.2862455, 12.8046, 12.9175, 14.9268, 16.7456, 0.841424, 1.55511, 57.3945, 47222.2972455, 12.8244, 12.9794, 14.8335, 16.6878, 0.876236, 1.49608, 57.3251, 47222.2972455, 12.8244, 12.9794, 14.8335, 16.6878, 0.876236, 1.49608, 57.3251, 47223.573245499996, 12.9335, 13.1031, 14.7506, 16.5374, 0.853214, 1.37413, 57.3246
47223.708, 47225.02454838181, 47225.04122451429, 47226.04115835273, 47226.05782449485, 47226.47448735676, 47226.491131880306, 47227.69103549216, 47227.708654062, 47228.9742820056, 4.040655868758359, 0.9375478095238092, 1.2208728571428566, 2.8928717319015678, 0.9405694683544303, 1.3378800000000004, 0.9668777254219608, 0.9377109714285715, 1.4965537142857148, 3.6073435121898343, 0.9205490344827586, 1.4401595402298855, 3.3831975182211416, 0.9281878981481484, 1.4629923148148152, 47223.609245499996, 12.9533, 13.0928, 14.6988, 16.5374, 0.863311, 1.35908, 57.2823, 47224.9412455, 13.0128, 13.2268, 14.5951, 16.4565, 0.905594, 1.25987, 57.2912, 47224.9412455, 13.0128, 13.2268, 14.5951, 16.4565, 0.905594, 1.25987, 57.2912, 47225.9582455, 12.7252, 13.0412, 14.7817, 16.6646, 0.960863, 1.48915, 57.2128, 47225.9582455, 12.7252, 13.0412, 14.7817, 16.6646, 0.960863, 1.48915, 57.2128, 47226.383245499994, 12.7946, 12.9897, 14.8957, 16.8034, 0.914493, 1.54344, 57.4835, 47226.391245499995, 12.7351, 12.9691, 14.9372, 16.7224, 0.879997, 1.55728, 57.3638, 47227.607245499996, 12.9037, 13.1649, 14.6884, 16.5143, 0.911048, 1.34466, 57.2714, 47227.61024549999, 12.8145, 13.1753, 14.7195, 16.5837, 0.970864, 1.39113, 57.2929, 47228.883245499994, 12.5368, 12.8969, 14.9683, 16.9075, 1.00304, 1.68614, 57.3094
47229.003, 47230.01956340171, 47230.036253948514, 47231.05283014358, 47231.06948659359, 47231.48612452174, 47231.50279011792, 47233.119352539245, 47233.13625664905, 47234.13594246199, 2.409518617047996, 1.0739401066666667, 1.7593109333333337, 2.7968375556151255, 0.9160177874999997, 1.5713526249999996, 1.3193399550362161, 1.0016738749999998, 1.4971262500000007, 4.573616897194452, 0.987845969230769, 1.1873382153846157, 3.1279333385785466, 0.9781170595238093, 0.8457661666666665, 47228.91724549999, 12.5566, 12.9072, 14.9787, 17, 1.03232, 1.70123, 57.4425, 47229.9242455, 12.5268, 12.9794, 14.9787, 16.9769, 1.06626, 1.68355, 57.4618, 47229.9452455, 12.4971, 12.8969, 15.0201, 16.9537, 1.01688, 1.72044, 57.3679, 47230.959245499995, 12.7252, 13.0619, 14.7921, 16.6878, 0.97453, 1.49112, 57.2669, 47230.9732455, 12.745, 13.0619, 14.7921, 16.6762, 0.960684, 1.48268, 57.2752, 47231.39824549999, 12.7351, 13.1546, 14.8335, 16.7109, 0.999781, 1.47682, 57.4342, 47231.404245499994, 12.7351, 13.1546, 14.8335, 16.7109, 0.999781, 1.47682, 57.4342, 47233.0432455, 13.3798, 13.9072, 14.0872, 15.832, 0.992978, 0.690172, 57.2062, 47233.0432455, 13.3798, 13.9072, 14.0872, 15.832, 0.992978, 0.690172, 57.2062, 47234.0452455, 13.2013, 13.5876, 14.3049, 16.1095, 0.957546, 0.950684, 57.2033
47234.153, 47235.469564169405, 47235.48623676169, 47236.48615141301, 47236.50282821528, 47236.91944212712, 47236.936139157806, 47238.1526922067, 47238.16950635258, 47239.58593218115, 3.7640008828328386, 0.9994971584158424, 0.8861757227722773, 2.7151579114011195, 0.936063182926829, 1.2048692682926831, 1.1355586173205274, 1.0067696060606062, 1.204574242424243, 3.4015643766647474, 0.9316573846153848, 1.1382812637362638, 3.9021827677528913, 0.9325424090909089, 1.1622947818181815, 47234.063245499994, 13.2509, 13.6598, 14.2945, 16.0864, 0.96035, 0.908573, 57.2916, 47235.376245499996, 13.0723, 13.5464, 14.4604, 16.2136, 0.971889, 1.06171, 57.2927, 47235.3902455, 13.0228, 13.5258, 14.4396, 16.283, 1.02424, 1.09325, 57.2712, 47236.4052455, 12.993, 13.4639, 14.5226, 16.3293, 0.993571, 1.15032, 57.3087, 47236.4052455, 12.993, 13.4639, 14.5226, 16.3293, 0.993571, 1.15032, 57.3087, 47236.8242455, 12.9335, 13.4227, 14.4604, 16.3871, 1.05583, 1.17771, 57.2036, 47236.8562455, 12.9533, 13.5052, 14.4604, 16.3061, 1.04744, 1.12923, 57.225, 47238.061245499994, 12.9632, 13.3711, 14.5537, 16.3177, 0.949171, 1.18965, 57.2057, 47238.090245499996, 13.0029, 13.433, 14.5744, 16.3408, 0.95748, 1.17155, 57.3511, 47239.48724549999, 13.0327, 13.4536, 14.4707, 16.1789, 0.9316, 1.09301, 57.1359
47239.601, 47240.817571318556, 47240.834252702334, 47241.85082852588, 47241.86749184816, 47242.38413175647, 47242.40079641831, 47243.61735581039, 47243.63435270395, 47244.8006165592, 3.556513187563004, 0.9477245102040817, 1.1170378571428567, 2.745485059894181, 0.9411655696202533, 1.2932906329113927, 1.4672643287146074, 0.9392180930232559, 1.5190076744186043, 3.316434205303834, 0.9390655108695658, 1.5566848913043485, 3.1359376948061586, 0.9622275268817206, 1.6426215053763442, 47239.5022455, 12.9732, 13.4742, 14.4915, 16.1673, 0.953028, 1.10621, 57.1062, 47240.73524549999, 13.0922, 13.5567, 14.4707, 16.1442, 0.933403, 1.03889, 57.2638, 47240.73524549999, 13.0922, 13.5567, 14.4707, 16.1442, 0.933403, 1.03889, 57.2638, 47241.764245499995, 12.7847, 13.0928, 14.8439, 16.5374, 0.87392, 1.44183, 57.2588, 47241.781245499995, 12.7748, 13.0722, 14.8128, 16.5374, 0.883776, 1.44323, 57.1972, 47242.300245499995, 12.745, 13.1959, 14.7921, 16.549, 0.963542, 1.41409, 57.282, 47242.306245499996, 12.7054, 13.1856, 14.7299, 16.5721, 1.01517, 1.41916, 57.1929, 47243.5212455, 12.6657, 13.1856, 14.8439, 16.734, 1.04911, 1.49575, 57.4292, 47243.54224549999, 12.6657, 13.1649, 14.8335, 16.6415, 1.00654, 1.47744, 57.3057, 47244.7082455, 12.5268, 12.9794, 15.0616, 16.919, 1.00458, 1.68936, 57.4869
47244.819, 47246.03556562829, 47246.05223166343, 47246.8521725453, 47246.86883898568, 47247.385478274795, 47247.40212672692, 47248.418740277586, 47248.4355879685, 47249.485314915866, 3.3602645460977136, 0.9868993978494622, 1.6472137634408595, 2.078245246684205, 0.985409507692308, 1.722750307692308, 1.5216945729185323, 0.9630447619047617, 1.7032557142857139, 2.735647722773223, 0.9288068641975312, 1.3078758641975305, 2.7776780282879923, 1.014066528735632, 1.2222581609195404, 47244.722245499994, 12.5268, 12.9794, 15.0616, 16.919, 1.00458, 1.68936, 57.4869, 47245.9452455, 12.4177, 12.8969, 15.103, 16.9653, 1.02009, 1.76543, 57.383, 47245.961245499995, 12.4872, 12.866, 15.0201, 16.8844, 0.979367, 1.71628, 57.2576, 47246.760245499994, 12.4475, 12.9278, 15.0927, 16.8728, 0.985533, 1.72394, 57.3408, 47246.777245499994, 12.4376, 12.9175, 15.072, 16.9306, 1.01931, 1.73843, 57.3577, 47247.2892455, 12.6359, 13.0928, 14.9372, 16.7109, 0.971881, 1.5475, 57.3768, 47247.317245499995, 12.626, 13.1031, 14.9476, 16.6068, 0.932342, 1.52537, 57.2835, 47248.3222455, 13.0723, 13.701, 14.3774, 16.2252, 1.07903, 1.00109, 57.376, 47248.3392455, 13.112, 13.6495, 14.3567, 16.1789, 1.02958, 0.988038, 57.2971, 47249.3922455, 12.8442, 13.3505, 14.7195, 16.549, 1.0162, 1.32443, 57.4632
47249.5, 47250.91656447221, 47250.93325364572, 47251.54986982366, 47251.56653925831, 47252.18315330306, 47252.19980811524, 47253.21641886292, 47253.23331907785, 47254.31634349228, 4.733351932536424, 1.0017486320754718, 0.930729896226415, 1.644015634603, 1.0063594523809523, 1.0253477142857141, 1.3780324171378555, 1.0130246800000002, 1.0156303199999999, 2.6800152322291013, 1.0333035512820514, 0.9541206410256411, 3.0205388585231043, 1.1007433658536587, 0.9383714878048782, 47249.408245499995, 12.8641, 13.3402, 14.678, 16.4912, 0.997519, 1.29806, 57.3735, 47250.8222455, 13.2608, 13.7113, 14.2841, 16.098, 0.987005, 0.891818, 57.3542, 47250.8542455, 13.2013, 13.6598, 14.3671, 16.098, 0.954798, 0.943015, 57.3261, 47251.4502455, 13.1319, 13.6392, 14.3982, 16.1558, 0.987759, 0.989862, 57.325, 47251.47024549999, 13.0922, 13.6804, 14.3982, 16.1558, 1.02302, 0.989426, 57.3265, 47252.0832455, 13.1021, 13.6392, 14.3671, 16.1673, 1.02022, 0.993392, 57.2757, 47252.109245499996, 13.0922, 13.6082, 14.3878, 16.2136, 1.02172, 1.02117, 57.3018, 47253.1172455, 13.2211, 13.8247, 14.2634, 16.0748, 1.05214, 0.860617, 57.3841, 47253.137245499995, 13.1616, 13.7526, 14.2323, 16.0633, 1.05835, 0.886577, 57.2098, 47254.2192455, 13.1517, 13.8247, 14.253, 16.1095, 1.10288, 0.885819, 57.339
