a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
48470.473, 48471.98955513842, 48472.006243169446, 48473.006155285846, 48473.02281236173, 48473.539436483305, 48473.55609480197, 48474.55602849883, 48474.573041929165, 48475.772616094546, 3.834797212394145, 0.47457331545454556, 0.759791990909091, 2.362385128855076, -0.033282849113924054, 0.6284353924050632, 1.2397239454193982, 0.08870938536585367, 0.5803750487804877, 2.3047064479274413, -0.04048634608000001, 0.7682736266666665, 3.749288303730818, -0.23508588319148938, 0.6841491702127656, 48470.38640249999, 13.6316, 13.8267, 14.275, 15.3533, 0.55764, 0.570216, 57.0867, 48471.909402499994, 13.7403, 13.3527, 14.626, 15.2722, 0.113457, 0.738316, 56.9911, 48471.909402499994, 13.7403, 13.3527, 14.626, 15.2722, 0.113457, 0.738316, 56.9911, 48472.9084025, 14.1058, 13.5588, 14.4299, 14.9011, -0.0332236, 0.438566, 56.9955, 48472.95840249999, 14.0761, 13.5279, 14.4815, 14.9939, -0.0157073, 0.491774, 57.0793, 48473.44140249999, 13.7699, 13.3939, 14.5847, 15.249, 0.126457, 0.702617, 56.9975, 48473.4714025, 13.7798, 13.3527, 14.657, 15.2142, 0.0570953, 0.720647, 57.0036, 48474.47540249999, 13.5131, 13.0848, 14.8634, 15.5969, 0.133744, 1.01537, 57.0582, 48474.47540249999, 13.5131, 13.0848, 14.8634, 15.5969, 0.133744, 1.01537, 57.0582, 48475.6944025, 13.8884, 13.2394, 14.8944, 15.075, -0.205071, 0.746505, 57.0972
48475.788, 48477.20461084574, 48477.22128519038, 48478.02122469579, 48478.03789087075, 48478.45453022946, 48478.47119113627, 48479.47113402407, 48479.50469592521, 48481.13766409684, 3.800145889167637, -0.08888861923076921, 0.4709310576923078, 1.8301803603823121, -0.05146905047619046, 0.4826406507936509, 1.0961845172738254, -0.06898425236842108, 0.6997492368421055, 2.5085998987758096, -0.23696870129870126, 0.4315303896103897, 3.966762247240533, -0.07135514482758623, 0.6148357844827586, 48475.6944025, 13.8884, 13.2394, 14.8944, 15.075, -0.205071, 0.746505, 57.0972, 48477.1284025, 13.8786, 13.5176, 14.4505, 15.075, 0.115743, 0.561143, 56.9217, 48477.1284025, 13.8786, 13.5176, 14.4505, 15.075, 0.115743, 0.561143, 56.9217, 48477.934402499995, 13.9675, 13.3733, 14.6053, 15.0866, -0.0494644, 0.618376, 57.0328, 48477.943402499994, 13.9477, 13.3939, 14.6157, 15.1214, -0.0210285, 0.629509, 57.0787, 48478.3614025, 14.1453, 13.4867, 14.5537, 14.7967, -0.182338, 0.452385, 56.9824, 48478.3764025, 14.1848, 13.3836, 14.6053, 14.8199, -0.257295, 0.488698, 56.9937, 48479.390402499994, 14.0267, 13.2291, 14.7292, 14.9243, -0.264703, 0.631971, 56.9093, 48479.417402499996, 13.8983, 13.2291, 14.7086, 15.0286, -0.153494, 0.688425, 56.8646, 48481.04740249999, 13.9576, 14.1461, 13.9551, 14.8547, 0.47797, 0.186108, 56.9134
48481.154, 48482.47057876132, 48482.48726922381, 48483.48715805762, 48483.503791645766, 48484.02047431676, 48484.03712558961, 48485.2370329565, 48485.253991430494, 48487.08691690576, 2.9214997908635527, 0.4643199615384616, 0.22014159871794872, 2.045414477271453, 0.380934737704918, 0.327296606557377, 1.1673560135099952, 0.38467823333333345, 0.3949040333333333, 3.1214244178971264, 0.37041846590909094, 0.31555175681818176, 4.093137337770217, 0.24027370723188404, 0.6868716739130433, 48481.059402499995, 14.0465, 14.1358, 13.9344, 14.9011, 0.462988, 0.171862, 57.0178, 48482.45840249999, 13.8884, 13.8164, 14.1615, 15.191, 0.419497, 0.43317, 57.0573, 48482.45840249999, 13.8884, 13.8164, 14.1615, 15.191, 0.419497, 0.43317, 57.0573, 48483.398402499995, 14.0366, 13.9297, 14.0996, 15.0171, 0.354996, 0.302278, 57.0829, 48483.4294025, 13.9872, 13.9503, 14.0583, 15.0171, 0.40423, 0.299358, 57.0129, 48483.93940249999, 13.9082, 13.703, 14.1615, 15.249, 0.386831, 0.47331, 57.0217, 48483.93940249999, 13.9082, 13.703, 14.1615, 15.249, 0.386831, 0.47331, 57.0217, 48485.1774025, 13.7403, 13.6721, 14.3473, 15.3301, 0.400555, 0.59513, 57.0898, 48485.1774025, 13.7403, 13.6721, 14.3473, 15.3301, 0.400555, 0.59513, 57.0898, 48486.987402499995, 14.1453, 13.6721, 14.275, 14.9011, 0.0670701, 0.357606, 56.9935
48487.104, 48488.42056176817, 48488.43721236017, 48489.63713954619, 48489.65380319783, 48490.17043209045, 48490.18709436967, 48491.18704636728, 48491.20423894201, 48492.686918207946, 3.490860824039188, 0.19299866333333335, 0.4752185217204302, 3.2231772358622908, -0.01517247782051283, 0.993240923076923, 1.0244460356166056, 0.3407383846153846, 1.3451596153846157, 2.517563331726405, 0.11849760476190477, 1.354204603174603, 3.231439786829398, -0.021923809473684202, 1.0975135263157896, 48487.01140249999, 14.165, 13.6618, 14.275, 14.9243, 0.0640213, 0.361016, 57.0262, 48488.322402499994, 13.6711, 13.0539, 14.884, 15.4113, -0.0394106, 0.939215, 57.0204, 48488.3464025, 13.6711, 13.0539, 14.884, 15.4113, -0.0394106, 0.939215, 57.0204, 48489.5394025, 13.197, 13.0024, 15.0801, 15.8636, 0.257629, 1.24538, 57.1431, 48489.568402499994, 13.197, 13.0024, 15.0801, 15.8636, 0.257629, 1.24538, 57.1431, 48490.07940249999, 12.9895, 12.8273, 15.1834, 16.0607, 0.313294, 1.4267, 57.0609, 48490.0884025, 12.9204, 12.8788, 15.2247, 16.1535, 0.387925, 1.46359, 57.1773, 48491.0924025, 13.197, 12.7139, 15.3795, 15.7244, -0.0605524, 1.36622, 57.0148, 48491.104402499994, 13.2562, 12.683, 15.3898, 15.7592, -0.0892535, 1.36886, 57.0883, 48492.587402499994, 13.6119, 13.3218, 14.8531, 15.191, 0.0210136, 0.818843, 56.9777
48492.705, 48494.22153254741, 48494.23820442282, 48494.838162963824, 48494.854837216604, 48495.37146928634, 48495.38813879512, 48496.38804774511, 48496.405827019655, 48497.571300808, 3.2961542199615, 0.12800744460784322, 0.8428439803921568, 1.4613721004570968, 0.08061709325581394, 0.5720798139534884, 1.1408346024056173, 0.002828956969696963, 1.012131696969697, 2.5468580364064226, -0.032750431811594184, 1.1649690000000004, 2.8566291200989884, -0.21358653333333336, 0.6501452083333333, 48492.631402499996, 13.6119, 13.3218, 14.8531, 15.191, 0.0210136, 0.818843, 56.9777, 48494.127402499995, 13.7501, 13.497, 14.5331, 15.1098, 0.142187, 0.631692, 56.89, 48494.15140249999, 13.8193, 13.6309, 14.5434, 15.0518, 0.140262, 0.564038, 57.0455, 48494.7384025, 13.8884, 13.4145, 14.7498, 15.0286, -0.0854433, 0.650522, 57.0815, 48494.784402499994, 13.8884, 13.4042, 14.6982, 15.0055, -0.0776276, 0.634519, 56.9964, 48495.273402499995, 13.197, 12.8891, 15.2247, 15.852, 0.139707, 1.30957, 57.1627, 48495.2894025, 13.2958, 12.92, 15.2247, 15.8404, 0.104734, 1.26987, 57.2808, 48496.294402499996, 13.839, 13.157, 14.9047, 15.191, -0.173301, 0.814388, 57.0917, 48496.31040249999, 13.8094, 13.1776, 14.8737, 15.1214, -0.168529, 0.791865, 56.9821, 48497.4864025, 13.9971, 13.5279, 14.6466, 14.9243, -0.0838757, 0.537502, 57.0959
48497.586, 48499.10255571106, 48499.11920214805, 48500.319134418496, 48500.335806045354, 48500.85243285765, 48500.86909228946, 48501.86901283481, 48501.88577962893, 48503.302247072796, 3.4204074582122512, -0.016326235861702124, 0.6417082553191488, 2.12299364981331, -0.044359715000000015, 0.5604873846153846, 1.2896916817044062, -0.030405986694594603, 0.618837189189189, 2.253082736572776, -0.18832143333333334, 0.5579146363636366, 3.624831509715179, -0.21653033227848098, 1.1276299620253165, 48497.4864025, 13.9971, 13.5279, 14.6466, 14.9243, -0.0838757, 0.537502, 57.0959, 48499.0144025, 13.839, 13.2806, 14.7705, 15.1562, -0.0756949, 0.738096, 57.0464, 48499.0884025, 13.839, 13.363, 14.7292, 15.191, -0.00622422, 0.713764, 57.1223, 48500.22340249999, 13.6612, 13.2497, 14.8634, 15.3186, 0.0191003, 0.859389, 57.0929, 48500.2364025, 13.6711, 13.3012, 14.8221, 15.2838, 0.0401884, 0.823483, 57.0782, 48500.756402499996, 14.0761, 13.5382, 14.5124, 14.7735, -0.121637, 0.440687, 56.9003, 48500.7744025, 14.0564, 13.6, 14.5021, 14.7271, -0.101668, 0.414757, 56.8856, 48501.771402499995, 14.0564, 13.2806, 14.7602, 14.9243, -0.268163, 0.617527, 57.0214, 48501.788402499995, 13.9675, 13.363, 14.8324, 14.9011, -0.234719, 0.631666, 57.064, 48503.20640249999, 13.7798, 12.8582, 15.2453, 15.1794, -0.432633, 0.995416, 57.0627
48503.318, 48504.33458946514, 48504.35125900097, 48505.55116668123, 48505.56785084357, 48506.08446505558, 48506.10113384574, 48507.101060745335, 48507.11802399038, 48509.26757391682, 2.1325481156385324, -0.38421761290322576, 1.0560006774193547, 2.640564710489065, -0.19334688754285714, 1.4308691714285715, 1.1062898493437474, -0.24038591428571432, 1.5500077142857143, 2.639655746560299, -0.10612004426470588, 1.9087673529411773, 5.192045797192046, -0.16176177068493156, 1.6064269178082187, 48503.237402499995, 13.7995, 12.8788, 15.2866, 15.2258, -0.429067, 1.0056, 57.1907, 48504.2364025, 13.7403, 12.8685, 15.1937, 15.1678, -0.393918, 0.988078, 56.9702, 48504.252402499995, 13.6415, 12.8685, 15.1937, 15.2374, -0.320204, 1.03293, 56.941, 48505.455402499996, 13.2167, 12.5388, 15.7511, 15.6664, -0.333448, 1.48549, 57.173, 48505.4694025, 13.2562, 12.5182, 15.7098, 15.7128, -0.321265, 1.48124, 57.197, 48505.99440249999, 13.0093, 12.4048, 15.6685, 15.8056, -0.20538, 1.59785, 56.8882, 48506.023402499995, 12.9895, 12.3739, 15.7304, 15.8636, -0.211756, 1.64083, 56.9575, 48507.0014025, 13.0093, 12.3121, 15.7201, 16.1187, -0.130589, 1.71029, 57.1602, 48507.036402499994, 13.0093, 12.3327, 15.7201, 16.0143, -0.16747, 1.67996, 57.0764, 48509.1734025, 13.2859, 12.9612, 15.2453, 15.5853, 0.00670254, 1.20454, 57.0777
48509.284, 48510.500570559176, 48510.51726485259, 48511.31718556014, 48511.33391526637, 48511.95047452744, 48511.96713377551, 48512.96706650519, 48512.98383620083, 48515.13357334948, 3.0644759845367466, -0.286531686153846, 1.265954743589743, 1.5229383318357448, -0.08076154465517242, 1.1942808620689656, 1.0871058606424708, -0.048527235365853676, 1.1595809756097561, 2.0283303870969798, -0.02295516642857141, 1.0207434571428575, 5.0676677281842055, 0.26635044224637694, 0.6337672391304348, 48509.186402499996, 13.3353, 12.9818, 15.235, 15.6085, 0.00876188, 1.1878, 57.1605, 48510.40340249999, 13.3748, 12.8891, 15.3485, 15.3997, -0.19052, 1.17984, 57.0121, 48510.44140249999, 13.3748, 12.8685, 15.3279, 15.4113, -0.185515, 1.1835, 56.9825, 48511.220402499996, 13.4143, 12.9612, 15.2763, 15.4345, -0.129114, 1.13914, 57.0863, 48511.2344025, 13.3847, 12.9303, 15.2453, 15.5621, -0.0602111, 1.17968, 57.1223, 48511.85240249999, 13.355, 13.1261, 15.173, 15.5737, 0.0749916, 1.11806, 57.2278, 48511.88840249999, 13.3748, 13.0539, 15.1421, 15.5621, 0.0433862, 1.1225, 57.1329, 48512.8784025, 13.6217, 13.2703, 14.9563, 15.191, -0.0511557, 0.856054, 57.0393, 48512.8894025, 13.6316, 13.3218, 14.9563, 15.133, -0.0583157, 0.824611, 57.0427, 48515.044402499996, 13.7008, 14.5376, 13.9138, 14.704, 0.715399, 0.100098, 56.8561
48515.149, 48516.165587595606, 48516.182246541015, 48517.782134883135, 48517.79880966007, 48518.21546847044, 48518.23209936222, 48519.23204761005, 48519.248989220534, 48520.96525655547, 2.6770714818126975, 0.9516638437499996, 0.25355836249999997, 4.292763250017719, 0.22858821849557528, 0.3243706991150443, 0.8167607518501238, 0.554913076923077, 0.3857112307692307, 2.736247488280698, 0.6406838550724636, 0.5257613913043476, 4.528557627660071, 0.44200642990654193, 0.9619012429906545, 48515.0544025, 13.7008, 14.6509, 13.9138, 14.7271, 0.773573, 0.0761318, 56.9926, 48516.070402499994, 13.5822, 14.3933, 14.0996, 15.0518, 0.771695, 0.308751, 57.127, 48516.0944025, 13.5427, 14.3933, 14.0893, 15.0055, 0.774506, 0.304749, 57.0308, 48517.7074025, 13.8292, 14.043, 14.1512, 14.9939, 0.463253, 0.334858, 57.0172, 48517.7074025, 13.8292, 14.043, 14.1512, 14.9939, 0.463253, 0.334858, 57.0172, 48518.127402499995, 13.6119, 13.9915, 14.1821, 15.2142, 0.61917, 0.471836, 56.9997, 48518.13840249999, 13.6217, 14.0224, 14.2544, 15.2142, 0.595525, 0.479166, 57.1127, 48519.13840249999, 13.3451, 13.6309, 14.4918, 15.5273, 0.579542, 0.800865, 56.9951, 48519.163402499995, 13.3748, 13.6309, 14.4402, 15.5505, 0.59934, 0.785571, 56.9964, 48520.8704025, 13.0192, 13.0436, 14.9356, 15.9216, 0.443771, 1.26345, 56.92
48520.983, 48522.09959881819, 48522.11625837963, 48523.516167535, 48523.5328190023, 48523.94947376024, 48523.966136877, 48524.96604900412, 48524.98300878571, 48526.29929411342, 2.4471681572408785, 0.5376994647887325, 1.121065070422535, 3.2750128398866662, 0.5297429805825244, 0.9390827669902918, 1.0961629957486898, 0.7619837777777777, 0.39333340740740746, 2.7259788535815397, 0.9045487368421048, 0.7724837894736841, 3.247446447836996, 0.3641121314606743, 1.0283858764044942, 48520.883402499996, 13.0093, 13.1467, 14.8737, 16.0143, 0.560087, 1.24432, 57.044, 48522.0014025, 13.3451, 13.4145, 14.7498, 15.6896, 0.44108, 0.964993, 57.1992, 48522.0904025, 13.2661, 13.3424, 14.7395, 15.7128, 0.459859, 1.01045, 57.0609, 48523.4334025, 13.4637, 13.94, 14.2028, 15.3301, 0.704148, 0.560955, 56.9366, 48523.4334025, 13.4637, 13.94, 14.2028, 15.3301, 0.704148, 0.560955, 56.9366, 48523.8784025, 13.6415, 14.383, 13.9551, 15.0982, 0.825498, 0.270361, 57.0778, 48523.8784025, 13.6415, 14.383, 13.9551, 15.0982, 0.825498, 0.270361, 57.0778, 48524.88240249999, 13.0488, 13.4661, 14.6053, 16.0375, 0.808913, 1.08332, 57.1577, 48524.883402499996, 13.0488, 13.5176, 14.5124, 15.9679, 0.843281, 1.02916, 57.0468, 48526.201402499995, 13.2859, 13.0539, 15.1214, 15.6317, 0.121853, 1.1595, 57.0929
