a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
66414.965, 66416.1816061034, 66416.5315902382, 66417.53148455059, 66417.54815745799, 66417.96480724649, 66417.9814492134, 66418.981408061, 66419.0223588864, 66420.26463045919, 3.3281162993048543, 0.19886885172413796, 1.0759244712643676, 2.224928966909218, 0.3914148831168831, 0.8422460779220783, 1.2595329643069992, 0.43171290909090904, 0.7595838787878786, 2.978454537252252, 0.38709260810810797, 0.6209304324324322, 3.0689708402788947, 0.22580109782608696, 0.5048446195652176, 66414.8790895, 12.2172, 12.7083, 14.8245, 14.5142, 0.0832826, 1.21989, 54.2642, 66416.1440895, 12.2663, 13.1354, 14.3583, 14.2507, 0.352454, 0.890728, 54.0107, 66416.4510895, 12.3645, 13.1667, 14.3583, 14.2621, 0.325912, 0.855723, 54.1516, 66417.4470895, 12.2761, 13.2708, 14.2651, 14.2507, 0.453308, 0.823705, 54.0627, 66417.4510895, 12.3645, 13.2083, 14.2858, 14.2965, 0.394467, 0.833559, 54.1552, 66417.8800895, 12.4136, 13.3854, 14.2029, 14.1361, 0.417903, 0.703753, 54.1381, 66417.9050895, 12.3842, 13.3854, 14.1615, 14.1132, 0.440827, 0.695291, 54.0443, 66418.8830895, 12.669, 13.6667, 14.0475, 13.7581, 0.327036, 0.407261, 54.1413, 66418.92308950001, 12.669, 13.6562, 14.0061, 13.6664, 0.299838, 0.374267, 53.9978, 66420.1690895, 12.5511, 13.3333, 14.2547, 13.8383, 0.169402, 0.613739, 53.9775
66414.274, 66415.4905802082, 66415.5072521226, 66416.50716509711, 66416.5238450148, 66416.9404699414, 66416.9571366281, 66418.3570512843, 66418.3739005531, 66419.7569371069, 3.041146726293729, 0.14052489390243902, 1.209857317073171, 2.4436908015613286, 0.3097601857142856, 0.9162879999999998, 0.9502108144852942, 0.360273, 0.8164382187499999, 3.653449186218548, 0.42657610091743137, 0.7670550733944951, 4.132595082582975, 0.28139987999999994, 0.5596732, 66414.1740895, 12.1976, 13.0417, 14.4723, 14.3996, 0.356403, 1.00699, 54.1111, 66415.3920895, 12.0699, 12.7083, 14.6795, 14.56, 0.240174, 1.23882, 54.0177, 66415.4140895, 12.0797, 12.7812, 14.7105, 14.5485, 0.249216, 1.21898, 54.12, 66416.4250895, 12.3154, 13.1979, 14.3687, 14.1819, 0.321728, 0.842689, 54.064, 66416.4250895, 12.3154, 13.1979, 14.3687, 14.1819, 0.321728, 0.842689, 54.064, 66416.85908950001, 12.3744, 13.2812, 14.3687, 14.2278, 0.352976, 0.813105, 54.252, 66416.85908950001, 12.3744, 13.2812, 14.3687, 14.2278, 0.352976, 0.813105, 54.252, 66418.2580895, 12.5413, 13.6042, 14.0993, 13.9414, 0.417498, 0.524644, 54.1862, 66418.2840895, 12.4922, 13.4688, 14.0579, 13.9643, 0.408897, 0.572741, 53.9831, 66419.67308950001, 12.669, 13.4896, 14.12, 13.7466, 0.206932, 0.474256, 54.0252
66419.773, 66420.989602193, 66421.0062338868, 66422.00619759731, 66422.0228172355, 66422.639478067, 66422.6561145833, 66424.25601100319, 66424.272804673, 66426.12255417221, 3.258360932653962, 0.21846358241758249, 0.6026981318681317, 2.191412288926482, 0.364191078125, 0.7420476249999997, 1.0629540548436764, 0.4542145714285714, 0.9513856285714283, 3.886366122030202, 0.350475209090909, 0.8138692909090905, 4.69771150168536, 0.26615842647058824, 0.6416820808823533, 66419.67308950001, 12.669, 13.4896, 14.12, 13.7466, 0.206932, 0.474256, 54.0252, 66420.89308950001, 12.4922, 13.375, 14.2029, 13.9757, 0.303268, 0.641527, 54.0459, 66420.91208950001, 12.4824, 13.3229, 14.1926, 13.9643, 0.28365, 0.653669, 53.9622, 66421.9360895, 12.227, 13.2188, 14.3272, 14.3767, 0.480685, 0.902535, 54.1497, 66421.9360895, 12.227, 13.2188, 14.3272, 14.3767, 0.480685, 0.902535, 54.1497, 66422.55208950001, 12.1779, 12.9792, 14.5448, 14.5829, 0.386539, 1.09715, 54.2848, 66422.5620895, 12.1288, 12.9375, 14.5241, 14.6402, 0.42631, 1.13347, 54.2306, 66424.15808950001, 12.5217, 13.5208, 14.1718, 13.9185, 0.344425, 0.567441, 54.1328, 66424.1830895, 12.5609, 13.5417, 14.2133, 13.9185, 0.316173, 0.561213, 54.2344, 66426.0280895, 12.6395, 13.6979, 14.0165, 13.6321, 0.312129, 0.364289, 53.986
66426.138, 66427.25459739071, 66427.2712653949, 66427.67123153631, 66427.6878841815, 66428.2045326936, 66428.22120239951, 66429.2211019396, 66429.23808850501, 66431.25429313412, 2.8336935569787283, 0.21330300000000002, 0.4017620625, 1.095871715977407, 0.20478646875000003, 0.4123166562499999, 1.5418357428378289, 0.25765536363636365, 0.37467579545454543, 2.9958142941293384, 0.25036669135802475, 0.15505574074074074, 5.902691325794343, 0.05944544842666666, 0.2289155852666666, 66426.0470895, 12.7377, 13.6354, 14.0268, 13.6435, 0.23796, 0.360044, 54.0435, 66427.1560895, 12.6199, 13.5833, 14.0579, 13.6092, 0.238875, 0.407605, 53.8703, 66427.1840895, 12.6984, 13.5833, 14.0683, 13.6092, 0.197282, 0.387971, 53.9592, 66427.5940895, 12.6788, 13.5625, 14.0786, 13.6435, 0.207835, 0.411624, 53.9634, 66427.5940895, 12.6788, 13.5625, 14.0786, 13.6435, 0.207835, 0.411624, 53.9634, 66428.10908950001, 12.7672, 13.6667, 13.9854, 13.5633, 0.221112, 0.309784, 53.9826, 66428.1300895, 12.777, 13.6771, 14.0268, 13.5633, 0.201964, 0.315315, 54.0442, 66429.1300895, 13.2484, 14.1667, 13.5088, 12.9562, 0.169647, -0.264488, 53.8801, 66429.1500895, 13.2386, 14.1771, 13.5399, 13.002, 0.185606, -0.242895, 53.9576, 66431.1630895, 12.4824, 12.9896, 14.4101, 14.0788, 0.0815064, 0.838661, 53.9609
66431.273, 66432.5895969449, 66432.60625121111, 66433.6061868179, 66433.6228603533, 66434.0395028071, 66434.0561330623, 66435.2560734106, 66435.2731953271, 66437.2558874041, 3.9481815059903247, 0.14876812815533985, 0.7956462912621352, 2.3743874276667722, 0.22775562898550722, 0.7676070579710146, 1.1197654667029913, 0.28251168750000005, 0.7861574374999997, 3.079366809069131, 0.19244546041666663, 0.4807337291666667, 5.06185417745179, 0.1839774112025315, 0.7116301708860756, 66431.1880895, 12.4824, 12.9688, 14.4412, 14.0674, 0.0521511, 0.849924, 53.9597, 66432.5000895, 12.4726, 13.0312, 14.4619, 14.1247, 0.10235, 0.854893, 54.0904, 66432.51408950001, 12.4627, 13.0729, 14.4723, 14.1361, 0.126526, 0.851267, 54.144, 66433.5090895, 12.502, 13.2083, 14.3272, 14.1934, 0.263903, 0.777308, 54.231, 66433.5390895, 12.502, 13.1458, 14.3169, 14.1705, 0.22971, 0.786783, 54.1352, 66433.9430895, 12.4333, 13.3333, 14.2547, 14.159, 0.371152, 0.732871, 54.1804, 66433.98008950001, 12.5904, 13.3125, 14.2029, 14.0674, 0.270683, 0.655507, 54.1732, 66435.1560895, 12.7868, 13.4583, 14.1822, 13.6206, 0.0508428, 0.432301, 54.048, 66435.1790895, 12.777, 13.4167, 14.1304, 13.6092, 0.0548899, 0.429947, 53.9332, 66437.1630895, 12.3252, 13.1771, 14.4412, 14.2621, 0.310287, 0.885791, 54.2057
66437.271, 66438.2876233273, 66438.3042939438, 66439.30424045169, 66439.32088436409, 66439.7375434732, 66439.75419899549, 66441.35403953229, 66441.3707764681, 66443.1706024771, 2.780272680529991, 0.3029599466666667, 0.9427838799999999, 2.8446558034695677, 0.3672314794520549, 0.9645883013698631, 1.190156399797125, 0.42750399999999994, 0.7795274838709678, 5.455335525385032, 0.28302586718749995, 0.7156200546874995, 4.864170057326844, 0.2982373286713286, 0.8198323496503499, 66437.1890895, 12.3645, 13.1146, 14.5344, 14.285, 0.230515, 0.922775, 54.2986, 66438.1880895, 12.3842, 13.1042, 14.379, 14.4111, 0.346366, 0.912448, 54.2784, 66438.2100895, 12.3449, 13.1354, 14.4205, 14.3423, 0.328323, 0.907717, 54.2431, 66439.21508950001, 12.3351, 13.1875, 14.2444, 14.285, 0.413081, 0.83443, 54.052, 66439.2360895, 12.3547, 13.2292, 14.2236, 14.2392, 0.411695, 0.799028, 54.0467, 66439.63908950001, 12.3842, 13.2812, 14.2547, 14.2163, 0.396529, 0.777372, 54.1365, 66439.6570895, 12.4136, 13.25, 14.3169, 14.2049, 0.334194, 0.7912, 54.1854, 66441.2590895, 12.5806, 13.4583, 14.2444, 13.9299, 0.259763, 0.590823, 54.2132, 66441.2750895, 12.6002, 13.4688, 14.1097, 13.9414, 0.323451, 0.549358, 54.12, 66443.0740895, 12.2172, 12.9271, 14.6069, 14.4225, 0.242475, 1.07575, 54.1738
66443.187, 66444.5036119792, 66444.52022675451, 66445.52019613842, 66445.5368396859, 66445.9534837607, 66445.9701444091, 66447.1700764297, 66447.1868630279, 66449.519897292, 3.9745591629841575, 0.2891049183673469, 0.8970651836734694, 2.5341817889659435, 0.2776705657894737, 0.6032258157894738, 1.0891966285756147, 0.266183303030303, 0.4740811515151515, 3.2968272649167227, 0.2408101136363637, 0.42063592045454556, 6.3256697358593, 0.13330184886363644, 0.8123559943181818, 66443.1100895, 12.1779, 12.8958, 14.5966, 14.434, 0.256577, 1.09699, 54.1043, 66444.4160895, 12.4529, 13.3333, 14.3169, 14.0559, 0.285947, 0.716379, 54.1591, 66444.4390895, 12.3842, 13.3021, 14.2754, 14.1476, 0.365025, 0.758677, 54.1093, 66445.4310895, 12.6886, 13.5521, 14.0786, 13.7581, 0.251001, 0.442697, 54.0774, 66445.4470895, 12.6297, 13.5312, 14.089, 13.7123, 0.243157, 0.455956, 53.9622, 66445.8650895, 12.6002, 13.5208, 14.0475, 13.8497, 0.334516, 0.493221, 54.0183, 66445.8720895, 12.6002, 13.5208, 14.0475, 13.8497, 0.334516, 0.493221, 54.0183, 66447.0820895, 12.7083, 13.6146, 14.0268, 13.6321, 0.236923, 0.371248, 53.9817, 66447.0910895, 12.7279, 13.5625, 14.0268, 13.6206, 0.198564, 0.377387, 53.9378, 66449.4220895, 12.1681, 12.8333, 14.7313, 14.5371, 0.216982, 1.17935, 54.2698
66449.535, 66450.7516147555, 66450.76825658031, 66451.7681832314, 66451.78482493511, 66452.3014916831, 66452.3181419776, 66453.5180796313, 66453.5348391186, 66455.4179026412, 2.822797587550574, 0.1966690957446808, 1.0930363723404255, 3.3436980990621845, 0.20963353749999997, 0.7032490749999998, 1.3916344086690309, 0.051130814699999985, 0.43150585, 3.4774929175683735, 0.13755570337078654, 0.4398054382022472, 5.667901463645549, 0.125602759862069, 0.2344003331034483, 66449.4520895, 12.1878, 12.8438, 14.752, 14.4798, 0.176823, 1.16108, 54.2633, 66450.6550895, 12.2565, 12.8646, 14.6484, 14.3881, 0.160569, 1.08446, 54.1576, 66450.6900895, 12.2074, 12.8646, 14.6173, 14.4225, 0.213626, 1.0999, 54.1118, 66451.67308950001, 12.7574, 13.4271, 14.1926, 13.6779, 0.0717074, 0.467861, 54.0549, 66451.69208950001, 12.6984, 13.5, 14.1822, 13.6894, 0.142735, 0.464153, 54.07, 66452.2020895, 12.777, 13.375, 14.2547, 13.7123, 0.0256538, 0.503052, 54.119, 66452.2380895, 12.7475, 13.3646, 14.234, 13.6092, -0.00361651, 0.481242, 53.9553, 66453.4320895, 12.7966, 13.5833, 14.089, 13.5863, 0.131333, 0.359421, 54.0552, 66453.4410895, 12.8458, 13.5833, 14.0786, 13.5633, 0.102785, 0.336463, 54.071, 66455.3260895, 12.8949, 13.7917, 14.0372, 13.4144, 0.126553, 0.211975, 54.1381
66455.437, 66456.653620064, 66456.67026792711, 66457.4701885806, 66457.4868574355, 66458.00354912621, 66458.0201651575, 66459.020139222, 66459.0368173975, 66460.77000062891, 3.009942764483897, 0.1024758344444445, 0.014861891944444455, 2.120501377095909, 0.09385746263157892, -0.2846230877192983, 1.7027847951818276, 0.0339008404102564, -0.4523583846153848, 3.0498284077509017, 0.11999590000000003, -0.20093221759493662, 5.294435374504657, 0.20652221860465125, 0.6631433011240311, 66455.3530895, 12.9145, 13.7292, 13.9957, 13.4488, 0.123742, 0.222096, 54.0882, 66456.5540895, 13.1993, 14.2188, 13.6435, 12.9677, 0.158983, -0.224015, 54.0292, 66456.5820895, 13.2386, 14.1979, 13.6539, 12.9333, 0.110483, -0.235827, 54.0237, 66457.3720895, 13.1895, 14.2812, 13.6021, 12.7615, 0.116631, -0.308505, 53.8343, 66457.3880895, 13.2975, 14.3438, 13.5606, 12.7958, 0.130293, -0.356906, 53.9977, 66457.9090895, 13.2877, 14.2708, 13.6124, 12.8073, 0.0824332, -0.316467, 53.9782, 66457.92708950001, 13.2975, 14.3542, 13.716, 12.8073, 0.0682533, -0.312426, 54.175, 66458.9330895, 12.9931, 14, 13.8507, 13.1051, 0.121111, -0.010356, 53.9489, 66458.9410895, 13.0225, 14.0104, 13.8818, 13.1051, 0.0977576, -0.0127861, 54.0198, 66460.6740895, 12.0601, 12.8646, 14.6898, 14.56, 0.311333, 1.19756, 54.1745
66460.785, 66462.2016053942, 66462.2182651514, 66462.8182027641, 66462.8348440625, 66463.45151727411, 66463.468173749, 66464.4681010281, 66464.4850315279, 66466.4679596387, 3.7579316766542368, 0.28993084070796443, 0.8572774601769909, 1.5263996863660072, 0.35167997872340434, 0.9845126808510638, 1.732027884802427, 0.3477114565217391, 0.9221379347826084, 2.958161616545152, 0.3171026585365854, 0.7203843658536586, 6.472602095826546, 0.1457971943137255, 0.038110773439869294, 66460.6900895, 12.0895, 12.7917, 14.6795, 14.5027, 0.242934, 1.19331, 54.0634, 66462.1230895, 12.4235, 13.4167, 14.2133, 14.033, 0.375763, 0.667316, 54.0864, 66462.1230895, 12.4235, 13.4167, 14.2133, 14.033, 0.375763, 0.667316, 54.0864, 66462.73008950001, 12.0503, 12.8854, 14.5759, 14.6516, 0.420445, 1.18858, 54.1632, 66462.7420895, 12.0601, 12.8854, 14.5966, 14.56, 0.364459, 1.16753, 54.1021, 66463.3570895, 12.394, 13.2396, 14.2651, 14.1476, 0.336787, 0.771307, 54.0462, 66463.3790895, 12.4627, 13.2396, 14.2858, 14.1361, 0.289688, 0.75371, 54.1242, 66464.3730895, 12.502, 13.375, 14.2236, 13.9185, 0.262776, 0.628967, 54.0191, 66464.39308950001, 12.502, 13.3854, 14.1926, 14.0216, 0.32919, 0.645089, 54.1016, 66466.3680895, 12.9243, 13.8958, 14.089, 13.1853, 0.031355, 0.125926, 54.0944
