a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
36908.885, 36910.10156773545, 36910.15157429793, 36911.15148554938, 36911.168147988, 36911.584796843905, 36911.60145770908, 36912.60139094381, 36912.676534065424, 36913.63465356597, 3.944505846082854, 1.0791512083333339, 0.7821013125000001, 2.8159256140972886, 1.1044211392405066, 0.928541215189873, 1.5696753503845657, 1.149227058823529, 1.0266742647058826, 3.357170388749103, 1.167733409090909, 1.126869829545454, 3.415850986063083, 1.238202222222222, 1.076704375, 36908.79038, 11.2709, 10.7156, 11.0371, 13.5054, 1.02788, 0.824014, 46.529, 36910.005379999995, 11.1526, 10.6017, 11.1714, 13.6784, 1.04935, 0.996349, 46.6041, 36910.05538, 11.0835, 10.4878, 11.0784, 13.6092, 1.0458, 1.0105, 46.259, 36911.052379999994, 11.1131, 10.6121, 11.0267, 13.6323, 1.13427, 0.948772, 46.3842, 36911.07238, 11.1328, 10.581, 11.0681, 13.6208, 1.07798, 0.961695, 46.4027, 36911.501379999994, 11.0539, 10.5603, 11.0371, 13.7707, 1.2063, 1.0319, 46.422, 36911.51938, 11.0539, 10.5603, 11.0371, 13.7707, 1.2063, 1.0319, 46.422, 36912.51538, 10.9849, 10.3739, 11.1198, 14.0244, 1.23308, 1.221, 46.503, 36912.581379999996, 11.0342, 10.4153, 11.1404, 14.1052, 1.25594, 1.2194, 46.6952, 36913.545379999996, 11.1131, 10.4361, 11.0784, 13.7822, 1.09177, 1.0703, 46.4098
36913.657, 36914.873578729566, 36914.89027216691, 36915.89018311319, 36915.90684296775, 36916.323472019176, 36916.34016119897, 36917.74004812624, 36917.75706500122, 36918.80662888907, 3.8655160903246655, 1.1957835555555552, 1.1083088555555556, 3.7343557915767684, 1.1885101492537316, 1.1533732238805972, 1.21432570318998, 1.1593278124999997, 1.060551375, 4.55496052605189, 1.161325581818182, 1.292694636363637, 3.3136117216980208, 1.1795116000000003, 1.3495994666666666, 36913.56537999999, 11.0342, 10.4464, 11.0371, 13.7707, 1.15893, 1.07818, 46.2884, 36914.80037999999, 11.0737, 10.2704, 11.0991, 14.0936, 1.17717, 1.24052, 46.5368, 36914.80037999999, 11.0737, 10.2704, 11.0991, 14.0936, 1.17717, 1.24052, 46.5368, 36915.812379999996, 11.2117, 10.5189, 10.9957, 13.7015, 1.08389, 0.958468, 46.4278, 36915.812379999996, 11.2117, 10.5189, 10.9957, 13.7015, 1.08389, 0.958468, 46.4278, 36916.240379999996, 11.0934, 10.3946, 11.0267, 13.8514, 1.14627, 1.09675, 46.3662, 36916.240379999996, 11.0934, 10.3946, 11.0267, 13.8514, 1.14627, 1.09675, 46.3662, 36917.64838, 10.9258, 10.1772, 11.2644, 14.3704, 1.261, 1.45446, 46.7378, 36917.65738, 10.9159, 10.1876, 11.1404, 14.3358, 1.32411, 1.40816, 46.5797, 36918.72038, 10.8567, 10.0323, 11.2851, 14.3474, 1.20256, 1.52944, 46.5215
36918.821, 36920.03761975934, 36920.05426902504, 36921.054187823545, 36921.07087133487, 36921.68746611213, 36921.70416258632, 36923.30403287003, 36923.320926903405, 36924.43729317031, 4.5677812251553425, 1.160159886363636, 1.4452074999999995, 2.6316647519966185, 1.2065268055555558, 1.492807361111111, 1.802418492050808, 1.2455772093023254, 1.4672360465116276, 4.254292246931364, 1.242677941176471, 1.6672968627450968, 3.5111216529772555, 1.2423672151898726, 1.7877416455696205, 36918.723379999996, 10.9159, 10.0116, 11.2438, 14.4281, 1.22319, 1.52719, 46.5993, 36919.95737999999, 11.0046, 10.1772, 11.2128, 14.1974, 1.15751, 1.36128, 46.5921, 36919.95737999999, 11.0046, 10.1772, 11.2128, 14.1974, 1.15751, 1.36128, 46.5921, 36920.992379999996, 10.8666, 9.99086, 11.1818, 14.3474, 1.23412, 1.51067, 46.3866, 36920.992379999996, 10.8666, 9.99086, 11.1818, 14.3474, 1.23412, 1.51067, 46.3866, 36921.61038, 10.7976, 9.91839, 11.3678, 14.555, 1.23717, 1.67461, 46.6387, 36921.61038, 10.7976, 9.91839, 11.3678, 14.555, 1.23717, 1.67461, 46.6387, 36923.21137999999, 10.768, 9.83557, 11.3678, 14.6934, 1.2821, 1.7543, 46.6647, 36923.23937999999, 10.7384, 9.70097, 11.3781, 14.751, 1.25378, 1.83271, 46.5685, 36924.34737999999, 10.768, 9.74239, 11.3988, 14.7856, 1.26419, 1.8227, 46.6948
36924.453, 36925.569584698664, 36925.58625073196, 36925.98622164491, 36926.002886872695, 36926.51954854837, 36926.536223444535, 36927.53613140647, 36927.5530548701, 36928.469375578024, 2.9792987576065384, 1.2681804, 1.8026994666666671, 0.8034819962513887, 1.3086404000000003, 1.915132, 1.7092813957776976, 1.301063529411765, 1.8667944117647053, 2.8201779808897767, 1.3053804347826088, 2.0693531884057967, 2.502754650836683, 1.3244216666666668, 2.0207100000000002, 36924.35838, 10.768, 9.74239, 11.3988, 14.7856, 1.26419, 1.8227, 46.6948, 36925.48738, 10.7285, 9.61815, 11.4918, 14.9009, 1.22956, 1.94035, 46.7394, 36925.48738, 10.7285, 9.61815, 11.4918, 14.9009, 1.22956, 1.94035, 46.7394, 36925.893379999994, 10.699, 9.70097, 11.3058, 14.7395, 1.31108, 1.82322, 46.4452, 36925.910379999994, 10.6595, 9.73203, 11.3058, 14.8317, 1.39617, 1.85238, 46.5291, 36926.427379999994, 10.7877, 9.66992, 11.3884, 14.7972, 1.22789, 1.84206, 46.6432, 36926.452379999995, 10.768, 9.72168, 11.3678, 14.7741, 1.26524, 1.81815, 46.6315, 36927.43837999999, 10.6694, 9.4732, 11.3781, 15.0509, 1.32945, 2.02476, 46.5716, 36927.45737999999, 10.6694, 9.55603, 11.4195, 15.0739, 1.35981, 2.01247, 46.7188, 36928.380379999995, 10.5215, 9.36967, 11.5331, 15.2008, 1.349, 2.20144, 46.6251
36928.489, 36929.8055774758, 36929.8222416305, 36930.8221627604, 36930.83882859356, 36931.25546640779, 36931.27213299892, 36932.47205020044, 36932.48927191907, 36933.63865928241, 4.14965005371117, 1.3012585869565216, 2.121529565217392, 2.8299326407949374, 1.3224309523809525, 2.2683363492063493, 1.2542322321355448, 1.359645714285714, 2.0123925, 3.2118459142104165, 1.347956086956522, 2.2684786956521736, 3.3987902596845383, 1.3523336, 2.235489866666666, 36928.38937999999, 10.551, 9.33861, 11.5745, 15.2239, 1.30493, 2.21964, 46.688, 36929.72938, 10.551, 9.34896, 11.5331, 15.1547, 1.29834, 2.18549, 46.5878, 36929.72938, 10.551, 9.34896, 11.5331, 15.1547, 1.29834, 2.18549, 46.5878, 36930.725379999996, 10.6299, 9.49391, 11.3574, 15.097, 1.3974, 2.0387, 46.5783, 36930.74638, 10.6299, 9.4732, 11.4091, 15.1316, 1.37519, 2.07024, 46.6439, 36931.15837999999, 10.6891, 9.42144, 11.3884, 15.1547, 1.33889, 2.0682, 46.6537, 36931.18038, 10.6299, 9.35932, 11.4195, 15.1893, 1.34084, 2.13083, 46.598, 36932.374379999994, 10.4623, 9.30755, 11.5021, 15.4891, 1.51422, 2.31648, 46.7611, 36932.38937999999, 10.4623, 9.20402, 11.5021, 15.4776, 1.45629, 2.35178, 46.6461, 36933.543379999996, 10.6003, 9.32826, 11.4091, 15.4084, 1.45852, 2.21053, 46.7461
36933.669, 36934.68559613607, 36934.702258874895, 36935.70218973067, 36935.71883621216, 36936.13547499443, 36936.152154901145, 36937.752044784225, 36937.76889196181, 36938.851957818755, 3.046603430066319, 1.346470303030303, 2.3116031818181817, 2.606785407551746, 1.3603865625000005, 2.546690625000002, 1.1534226380636794, 1.3630859259259256, 2.755112592592593, 4.9854465440517455, 1.4101733333333328, 2.689366979166667, 2.923699273348886, 1.3752778947368425, 2.71422052631579, 36933.575379999995, 10.551, 9.24543, 11.5021, 15.4545, 1.41531, 2.29723, 46.7532, 36934.594379999995, 10.4327, 9.12119, 11.5951, 15.5814, 1.43095, 2.44679, 46.7305, 36934.62237999999, 10.5116, 9.10049, 11.5848, 15.5122, 1.34679, 2.40368, 46.7091, 36935.63138, 10.3144, 8.8313, 11.7502, 15.7775, 1.36279, 2.69381, 46.6733, 36935.63138, 10.3144, 8.8313, 11.7502, 15.7775, 1.36279, 2.69381, 46.6733, 36936.039379999995, 10.2454, 8.68636, 11.8328, 15.9389, 1.36345, 2.83921, 46.7035, 36936.052379999994, 10.2256, 8.68636, 11.9052, 15.9274, 1.32794, 2.86255, 46.7446, 36937.65938, 10.2749, 8.66565, 11.8225, 16.0543, 1.40038, 2.8631, 46.8174, 36937.685379999995, 10.1961, 8.6553, 11.7708, 16.0312, 1.45736, 2.87782, 46.6534, 36938.755379999995, 10.1961, 8.63459, 11.8018, 16.0889, 1.45843, 2.90875, 46.7213
36938.869, 36940.18557453405, 36940.20222613113, 36941.20215262929, 36941.218850019, 36941.63545703465, 36941.65213461493, 36942.85205303218, 36942.86895785457, 36944.33525858392, 4.222009710180246, 1.359893928571429, 2.380001547619049, 2.972484848540295, 1.2467331147540985, 2.428433114754098, 1.3659917116144724, 1.3183211111111108, 2.1817888888888888, 3.2086750718051658, 1.2852872857142859, 2.3734121428571417, 4.327057773813436, 1.3159276530612243, 2.3475617346938775, 36938.77138, 10.1468, 8.59318, 11.8225, 16.0889, 1.45377, 2.94893, 46.6513, 36940.09138, 10.5609, 8.99695, 11.6158, 15.5583, 1.27246, 2.44467, 46.732, 36940.10337999999, 10.5609, 8.99695, 11.6158, 15.5583, 1.27246, 2.44467, 46.732, 36941.113379999995, 10.6792, 9.09013, 11.4815, 15.3969, 1.24675, 2.28596, 46.6477, 36941.141379999994, 10.5905, 9.07978, 11.4505, 15.4661, 1.34422, 2.33315, 46.5868, 36941.541379999995, 10.7581, 9.25579, 11.3574, 15.3738, 1.34454, 2.15552, 46.7452, 36941.56137999999, 10.7384, 9.26614, 11.3264, 15.3853, 1.38423, 2.15361, 46.7163, 36942.772379999995, 10.5313, 8.95554, 11.5745, 15.5353, 1.27962, 2.45389, 46.5966, 36942.772379999995, 10.5313, 8.95554, 11.5745, 15.5353, 1.27962, 2.45389, 46.5966, 36944.24838, 10.3538, 8.87272, 11.7398, 15.6852, 1.32058, 2.63608, 46.6516
36944.35, 36945.56658318727, 36945.58323610016, 36946.583186049975, 36946.59985836705, 36947.11647040772, 36947.1331337569, 36948.33304107499, 36948.34993460305, 36949.89961205943, 3.5499883832677748, 1.2599926249999998, 2.4239475, 2.8183489820484966, 1.2676520000000004, 2.5449684999999986, 1.416566616964189, 1.3103637500000003, 2.570469375, 3.4761033701879023, 1.2943478205128207, 2.5799939743589753, 4.106013083305141, 1.2777782558139539, 2.590475697674419, 36944.27338, 10.344, 8.89342, 11.7605, 15.6852, 1.32499, 2.63746, 46.6831, 36945.48138, 10.4327, 9.12119, 11.6571, 15.6275, 1.41917, 2.47577, 46.8386, 36945.48338, 10.4327, 9.12119, 11.6571, 15.6275, 1.41917, 2.47577, 46.8386, 36946.49137999999, 10.3834, 8.85201, 11.8018, 15.7659, 1.29944, 2.67044, 46.8032, 36946.53238, 10.3735, 8.8106, 11.7812, 15.7775, 1.30147, 2.68742, 46.7428, 36947.026379999996, 10.4327, 8.8313, 11.7088, 15.6275, 1.24318, 2.59837, 46.6004, 36947.03438, 10.4722, 8.95554, 11.7605, 15.6852, 1.28437, 2.56585, 46.8734, 36948.23738, 10.4722, 9.06943, 11.5538, 15.5353, 1.38254, 2.42785, 46.6307, 36948.25837999999, 10.4919, 9.03837, 11.5641, 15.6275, 1.39651, 2.45969, 46.7219, 36949.81638, 10.5215, 8.95554, 11.5745, 15.5007, 1.26755, 2.44827, 46.5522
36949.918, 36951.13459088692, 36951.1512527677, 36951.95119363053, 36951.96789775681, 36952.484207447356, 36952.501085683376, 36953.501113623264, 36953.51786035274, 36954.80099755173, 3.2938961459576745, 1.278474659090909, 2.565026477272728, 1.9969727272595208, 1.2666534782608694, 2.785184999999999, 1.29947953773263, 1.2670654838709676, 2.7601222580645164, 2.8815639512958597, 1.256090597014925, 2.8311097014925366, 3.4500076929577292, 1.2553823170731708, 2.8857607317073173, 36949.82438, 10.4919, 9.05907, 11.6365, 15.5814, 1.34284, 2.45899, 46.7688, 36951.052379999994, 10.2651, 8.68636, 11.8535, 15.8236, 1.28215, 2.80697, 46.6285, 36951.052379999994, 10.2651, 8.68636, 11.8535, 15.8236, 1.28215, 2.80697, 46.6285, 36951.85137999999, 10.3933, 8.88307, 11.8432, 15.7083, 1.25722, 2.6507, 46.8278, 36951.87338, 10.3637, 8.85201, 11.8122, 15.7198, 1.28133, 2.66845, 46.7477, 36952.38937999999, 10.344, 8.8313, 11.7915, 15.6275, 1.24661, 2.6539, 46.5943, 36952.40938, 10.413, 8.77954, 11.8638, 15.7313, 1.19372, 2.69386, 46.7877, 36953.40437999999, 10.127, 8.62424, 11.9775, 16.0312, 1.36383, 2.96967, 46.76, 36953.435379999995, 10.2454, 8.53106, 12.0188, 15.9505, 1.18584, 2.94986, 46.7457, 36954.73738, 10.3144, 8.84166, 11.9362, 15.7429, 1.24585, 2.72968, 46.8351
36954.816, 36956.2325976425, 36956.24924767112, 36956.84920781408, 36956.86588899401, 36957.48248726589, 36957.49916834078, 36958.49910299635, 36958.51586806189, 36959.4323596304, 4.806071113010113, 1.2426667816091952, 2.7230888505747135, 1.7903801462143654, 1.2089779411764705, 2.9816082352941176, 1.2181855474829864, 1.2593937142857143, 2.8864645714285713, 2.956543924160651, 1.239338714285714, 3.085466, 2.714148966938711, 1.2563524561403516, 3.0453147368421067, 36954.73738, 10.3144, 8.84166, 11.9362, 15.7429, 1.24585, 2.72968, 46.8351, 36956.14838, 10.127, 8.53106, 12.0085, 15.9389, 1.25225, 2.98978, 46.6055, 36956.15938, 10.058, 8.52071, 11.9568, 15.9159, 1.30337, 3.0012, 46.4514, 36956.76037999999, 10.1468, 8.60353, 12.1119, 15.9159, 1.20826, 2.97494, 46.778, 36956.772379999995, 10.1468, 8.60353, 12.1119, 15.9159, 1.20826, 2.97494, 46.778, 36957.42438, 10.1566, 8.58283, 12.0602, 16.0312, 1.27973, 2.99545, 46.8308, 36957.42438, 10.1566, 8.58283, 12.0602, 16.0312, 1.27973, 2.99545, 46.8308, 36958.41937999999, 10.127, 8.52071, 12.1429, 16.0427, 1.22432, 3.05483, 46.8333, 36958.41937999999, 10.127, 8.52071, 12.1429, 16.0427, 1.22432, 3.05483, 46.8333, 36959.34538, 10.0087, 8.46894, 12.1635, 16.1004, 1.28211, 3.14055, 46.7416
