a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
38147.103, 38148.61959618992, 38148.63624423358, 38149.63618319582, 38149.652840057934, 38150.16947034563, 38150.18612979337, 38150.80276041945, 38150.819799986544, 38152.102664052305, 4.0145750060305545, 0.5147589634146341, 0.26712829512195124, 2.4000208757919, 0.5143672142857142, 0.35056601785714303, 1.3671443389549973, 0.580945111111111, 0.3165578518518518, 1.6660990271164222, 0.5841512368421053, 0.41921434210526326, 3.342068188145824, 0.6427768985507247, 0.3663893623188407, 38147.01538, 12.0613, 10.7309, 10.7687, 12.8019, 0.378916, 0.251845, 46.3628, 38148.528379999996, 12.0023, 10.6896, 10.7071, 12.9518, 0.502658, 0.312971, 46.3508, 38148.537379999994, 12.0023, 10.7309, 10.7482, 12.9403, 0.495815, 0.308685, 46.4217, 38149.545379999996, 11.9728, 10.7102, 10.6969, 12.9172, 0.51719, 0.301666, 46.2971, 38149.558379999995, 11.9826, 10.6792, 10.6558, 12.8942, 0.505796, 0.288271, 46.2118, 38150.09338, 11.8449, 10.5759, 10.7379, 13.1248, 0.603855, 0.467305, 46.2836, 38150.09338, 11.8449, 10.5759, 10.7379, 13.1248, 0.603855, 0.467305, 46.2836, 38150.76738, 11.9334, 10.6689, 10.6763, 13.1133, 0.6318, 0.383887, 46.392, 38150.76738, 11.9334, 10.6689, 10.6763, 13.1133, 0.6318, 0.383887, 46.392, 38152.02338, 12.0023, 10.7515, 10.6147, 13.0672, 0.646934, 0.299791, 46.4357
38152.123, 38153.43959627097, 38153.45623146128, 38154.87280989186, 38154.88950013819, 38155.40611755498, 38155.42277887478, 38156.43938427084, 38156.45626847513, 38157.62261760334, 2.8713451685135665, 0.6715492833333335, 0.40387566666666663, 2.2472504007721006, 0.7525764615384614, 0.5367106923076925, 1.4807272212517055, 0.7256050625000002, 0.5129533749999999, 3.016550390570741, 0.7358629811320756, 0.37060452830188667, 1.8982290373483932, 0.7887459736842107, 0.503080605263158, 38152.02338, 12.0023, 10.7515, 10.6147, 13.0672, 0.646934, 0.299791, 46.4357, 38153.35638, 11.9334, 10.6999, 10.5531, 13.0787, 0.698143, 0.323734, 46.2652, 38153.35638, 11.9334, 10.6999, 10.5531, 13.0787, 0.698143, 0.323734, 46.2652, 38154.793379999996, 11.7367, 10.4313, 10.7482, 13.3901, 0.721589, 0.638221, 46.3063, 38154.793379999996, 11.7367, 10.4313, 10.7482, 13.3901, 0.721589, 0.638221, 46.3063, 38155.30738, 11.776, 10.5243, 10.7277, 13.1825, 0.650883, 0.522548, 46.2105, 38155.32838, 11.7957, 10.5553, 10.6455, 13.2056, 0.71404, 0.487021, 46.2021, 38156.34538, 11.8351, 10.8341, 10.5942, 13.0326, 0.776219, 0.310248, 46.296, 38156.37938, 11.8843, 10.7515, 10.5942, 13.1248, 0.753906, 0.350531, 46.3548, 38157.53038, 11.8646, 10.6586, 10.625, 13.171, 0.723216, 0.412189, 46.3191
38157.639, 38158.85559170842, 38158.872240408404, 38159.472219092546, 38159.488878386124, 38160.00553096227, 38160.022169280055, 38161.03877828364, 38161.055641609055, 38162.821965928364, 3.7559971984643368, 0.7014705121951222, 0.4957366463414634, 1.5424218798066929, 0.6871487027027029, 0.4443476216216215, 1.0255330643383613, 0.720018896551724, 0.4550567241379311, 2.37705995389674, 0.696500043478261, 0.6541757608695654, 3.3666778850477157, 0.7377772545454545, 0.769331290909091, 38157.547379999996, 11.8646, 10.7102, 10.6866, 13.1825, 0.722125, 0.418022, 46.4439, 38158.79438, 11.776, 10.5863, 10.6661, 13.1594, 0.705597, 0.475184, 46.1878, 38158.79438, 11.776, 10.5863, 10.6661, 13.1594, 0.705597, 0.475184, 46.1878, 38159.397379999995, 11.8154, 10.6792, 10.6353, 13.0672, 0.701195, 0.392173, 46.197, 38159.397379999995, 11.8154, 10.6792, 10.6353, 13.0672, 0.701195, 0.392173, 46.197, 38159.90738, 11.6973, 10.5656, 10.7277, 13.2748, 0.764817, 0.563965, 46.2654, 38159.92638, 11.7465, 10.545, 10.6661, 13.2863, 0.766948, 0.538734, 46.2438, 38160.94238, 11.6481, 10.39, 10.974, 13.4478, 0.654122, 0.769569, 46.46, 38160.96238, 11.6481, 10.421, 10.933, 13.517, 0.729194, 0.767673, 46.5191, 38162.75238, 11.6973, 10.3591, 10.82, 13.4824, 0.71401, 0.72673, 46.3588
38162.838, 38164.154617748936, 38164.171238390125, 38165.171174823976, 38165.18785129199, 38165.60448622328, 38165.62115568765, 38166.02110786086, 38166.038055688536, 38167.621030312934, 2.523392981993867, 0.7239956249999998, 0.7384265416666667, 1.7397255566180088, 0.7471421562500001, 0.8650009062499998, 0.8524204228542795, 0.7404571666666667, 0.8401790555555554, 0.7797284766730133, 0.8451858235294117, 0.7471021176470588, 2.278148796412315, 0.7902770833333334, 0.5226777291666665, 38162.75238, 11.6973, 10.3591, 10.82, 13.4824, 0.71401, 0.72673, 46.3588, 38164.08438, 11.5596, 10.1422, 10.9022, 13.7938, 0.794294, 0.96799, 46.3977, 38164.08438, 11.5596, 10.1422, 10.9022, 13.7938, 0.794294, 0.96799, 46.3977, 38165.10338, 11.5498, 10.1628, 10.9638, 13.6554, 0.70397, 0.941001, 46.3317, 38165.10338, 11.5498, 10.1628, 10.9638, 13.6554, 0.70397, 0.941001, 46.3317, 38165.51338, 11.7465, 10.2868, 10.7585, 13.5631, 0.725314, 0.740463, 46.3548, 38165.564379999996, 11.6973, 10.2558, 10.8098, 13.6208, 0.73809, 0.801176, 46.3837, 38165.93038, 11.6285, 10.3797, 10.6045, 13.5516, 0.919724, 0.697895, 46.1642, 38165.99838, 11.6777, 10.3487, 10.6455, 13.5516, 0.852972, 0.704418, 46.2235, 38167.52538, 11.8056, 10.5966, 10.4915, 13.344, 0.888592, 0.464995, 46.2377
38167.64, 38168.85657767903, 38168.873230893936, 38169.27320499004, 38169.289892650726, 38169.9065047676, 38169.92316355902, 38170.93978489621, 38170.95697091074, 38172.639658784115, 2.6675416355236163, 0.8043607500000001, 0.4144573863636365, 0.7383416503456524, 0.7747950555555554, 0.44475116666666675, 1.2416969844504058, 0.7496183809523811, 0.3239295714285714, 1.5750191717441473, 0.8690609677419354, 0.42906012903225815, 4.968535436263247, 0.9128008035714285, 0.8441608749999998, 38167.59938, 11.8351, 10.6379, 10.5634, 13.344, 0.853485, 0.463899, 46.3803, 38168.776379999996, 11.8154, 10.5656, 10.6353, 13.3209, 0.774673, 0.509899, 46.3372, 38168.776379999996, 11.8154, 10.5656, 10.6353, 13.3209, 0.774673, 0.509899, 46.3372, 38169.204379999996, 11.9925, 10.7412, 10.6045, 13.171, 0.706965, 0.335988, 46.5091, 38169.204379999996, 11.9925, 10.7412, 10.6045, 13.171, 0.706965, 0.335988, 46.5091, 38169.83238, 11.8547, 10.5966, 10.5531, 13.2056, 0.754318, 0.424376, 46.21, 38169.83238, 11.8547, 10.5966, 10.5531, 13.2056, 0.754318, 0.424376, 46.21, 38170.85438, 11.6777, 10.7205, 10.6353, 13.2286, 0.88422, 0.475237, 46.2621, 38170.861379999995, 11.6875, 10.6379, 10.6455, 13.2171, 0.823796, 0.499229, 46.188, 38172.54238, 11.1759, 11.2473, 11.3025, 12.4905, 0.681204, 0.444599, 46.2162
38172.655, 38173.871605583656, 38173.88822653317, 38174.88817516404, 38174.90481961773, 38175.42145654351, 38175.43812591096, 38176.83803173213, 38176.85499465077, 38178.38791926091, 4.9182620419884255, 1.1653062826086957, 1.2206543913043475, 2.5941960594215607, 1.1002261219512197, 0.8539466097560976, 1.077437990695522, 1.103340941176471, 0.8472535294117648, 3.0581140556411, 1.1425959183673469, 0.9339212244897959, 2.8728725226183225, 1.1391006896551723, 0.9359024137931036, 38172.562379999996, 10.8611, 11.3712, 10.974, 13.2171, 1.48263, 0.632919, 46.4234, 38173.802379999994, 11.1562, 10.8651, 11.128, 13.1594, 0.9395, 0.734008, 46.3088, 38173.802379999994, 11.1562, 10.8651, 11.128, 13.1594, 0.9395, 0.734008, 46.3088, 38174.80038, 11.1759, 10.8032, 11.087, 13.3209, 1.00307, 0.785383, 46.3869, 38174.87237999999, 11.1562, 10.7618, 11.0459, 13.3555, 1.03369, 0.804185, 46.3195, 38175.37738, 11.0284, 10.7412, 11.0459, 13.54, 1.19024, 0.91134, 46.3555, 38175.37738, 11.0284, 10.7412, 11.0459, 13.54, 1.19024, 0.91134, 46.3555, 38176.742379999996, 10.9988, 10.5863, 11.1793, 13.6438, 1.10536, 1.0466, 46.4083, 38176.75838, 10.9693, 10.6482, 11.1486, 13.6554, 1.1771, 1.02959, 46.4215, 38178.30738, 11.1464, 10.6276, 11.0459, 13.6092, 1.10087, 0.930814, 46.4291
38178.403, 38179.719560010366, 38179.73626478825, 38180.73616965271, 38180.75283527604, 38181.26945801826, 38181.28611240923, 38182.3027339975, 38182.31975330237, 38184.61923741024, 2.0040094239149293, 1.1121617179487182, 0.8288548461538462, 1.7540654135861238, 1.1264035897435898, 0.6608742564102564, 0.9026417932694891, 1.158919523809524, 0.5137150952380952, 2.0615522457878512, 1.1521485833333336, 0.6842601666666668, 5.310287320717503, 1.1974701604938267, 0.8177383827160497, 38178.30738, 11.1464, 10.6276, 11.0459, 13.6092, 1.10087, 0.930814, 46.4291, 38179.65038, 11.1858, 10.7102, 10.8816, 13.6669, 1.24325, 0.856687, 46.4445, 38179.65038, 11.1858, 10.7102, 10.8816, 13.6669, 1.24325, 0.856687, 46.4445, 38180.68638, 11.4317, 10.8135, 10.6969, 13.3555, 1.10179, 0.585503, 46.2976, 38180.68638, 11.4317, 10.8135, 10.6969, 13.3555, 1.10179, 0.585503, 46.2976, 38181.19238, 11.5203, 10.9684, 10.5737, 13.3324, 1.18921, 0.458277, 46.3948, 38181.19238, 11.5203, 10.9684, 10.5737, 13.3324, 1.18921, 0.458277, 46.3948, 38182.22838, 11.412, 11.02, 10.5942, 13.2748, 1.2357, 0.465503, 46.301, 38182.22838, 11.412, 11.02, 10.5942, 13.2748, 1.2357, 0.465503, 46.301, 38184.55938, 11.2645, 10.6586, 10.82, 13.5977, 1.17162, 0.807509, 46.3408
38184.635, 38186.15156251494, 38186.16824266984, 38187.168159903034, 38187.18480441397, 38187.801443915756, 38187.81811085173, 38188.21808531339, 38188.234904119156, 38190.1346177575, 2.8163631957288695, 1.2174146428571433, 0.8988758571428576, 1.9904413121073206, 1.21821, 1.0957520833333332, 1.598661107110865, 1.138854642857143, 0.7189841428571428, 1.1892222788941416, 1.2158576470588236, 1.0617512352941176, 3.9556904681359697, 1.266631527777778, 1.0665458888888892, 38184.55938, 11.2645, 10.6586, 10.82, 13.5977, 1.17162, 0.807509, 46.3408, 38186.054379999994, 11.1956, 10.6276, 10.8611, 13.69, 1.21879, 0.882348, 46.3743, 38186.10338, 11.1956, 10.6276, 10.8611, 13.69, 1.21879, 0.882348, 46.3743, 38187.10338, 11.0284, 10.452, 10.9843, 13.7592, 1.18905, 1.0589, 46.2238, 38187.10338, 11.0284, 10.452, 10.9843, 13.7592, 1.18905, 1.0589, 46.2238, 38187.70338, 11.3137, 10.7618, 10.8406, 13.5631, 1.16757, 0.751358, 46.4792, 38187.732379999994, 11.2448, 10.6586, 10.8098, 13.5977, 1.18853, 0.811079, 46.3108, 38188.11838, 11.0677, 10.5553, 10.8816, 13.8284, 1.31348, 0.999398, 46.333, 38188.15738, 11.0284, 10.545, 10.8714, 13.7707, 1.30688, 0.996019, 46.2154, 38190.03838, 10.8316, 10.3694, 11.1793, 14.0475, 1.29552, 1.30068, 46.4278
38190.152, 38191.16857694958, 38191.18526764083, 38192.18520669999, 38192.201874252634, 38192.718483062374, 38192.735134867704, 38194.33506287872, 38194.35180864354, 38196.20157817305, 2.6066616468856187, 1.1879755102040819, 1.2124370612244901, 1.5965920964365194, 1.2566361764705882, 0.8410426176470586, 1.1181357998868562, 1.2100823809523806, 0.8840580476190474, 3.091084729445492, 1.2665040000000007, 0.8579861692307695, 3.9815223588058237, 1.2671361971830988, 1.006272394366197, 38190.054379999994, 10.8513, 10.3591, 11.2512, 14.1398, 1.28555, 1.34566, 46.6013, 38191.06937999999, 11.0972, 10.5759, 10.9124, 13.8168, 1.28393, 0.987911, 46.4024, 38191.179379999994, 11.1858, 10.6276, 10.9432, 13.8053, 1.23699, 0.945573, 46.5619, 38192.094379999995, 11.2546, 10.6173, 10.8406, 13.713, 1.20358, 0.866459, 46.4255, 38192.124379999994, 11.2546, 10.6173, 10.8406, 13.713, 1.20358, 0.866459, 46.4255, 38192.65837999999, 11.2743, 10.6276, 10.933, 13.6323, 1.10433, 0.859761, 46.4672, 38192.65837999999, 11.2743, 10.6276, 10.933, 13.6323, 1.10433, 0.859761, 46.4672, 38194.24838, 11.0972, 10.4107, 10.8611, 13.9206, 1.2816, 1.06087, 46.2896, 38194.268379999994, 11.048, 10.4107, 10.8508, 13.9091, 1.30948, 1.07139, 46.2187, 38196.126379999994, 11.1562, 10.483, 10.9124, 13.7476, 1.16736, 0.978683, 46.2993
38196.218, 38197.63455368855, 38197.65123328404, 38198.25120776157, 38198.26784522919, 38198.78449977432, 38198.80115379972, 38199.8010730019, 38199.81788304644, 38201.18430478653, 3.6278316476890087, 1.2366373015873016, 1.0672522698412699, 0.8716342783118088, 1.2466416666666664, 0.9739907777777775, 1.1968123738956027, 1.3114613043478263, 1.039886347826087, 2.251220197670149, 1.2709865853658533, 0.7217687073170729, 3.1996287696320103, 1.261728947368421, 0.7717748070175441, 38196.126379999994, 11.1562, 10.483, 10.9124, 13.7476, 1.16736, 0.978683, 46.2993, 38197.545379999996, 11.1562, 10.6069, 10.8303, 13.8284, 1.31873, 0.935603, 46.4218, 38197.62038, 11.235, 10.5863, 10.8406, 13.7246, 1.20471, 0.887302, 46.3864, 38198.19038, 11.1071, 10.4623, 10.9227, 13.8399, 1.22618, 1.0338, 46.332, 38198.19038, 11.1071, 10.4623, 10.9227, 13.8399, 1.22618, 1.0338, 46.332, 38198.68638, 11.235, 10.5966, 10.7995, 13.8168, 1.28044, 0.899327, 46.4479, 38198.77138, 11.2546, 10.5863, 10.7174, 13.69, 1.24556, 0.832393, 46.2483, 38199.71038, 11.3432, 10.7205, 10.6455, 13.713, 1.31664, 0.741515, 46.4223, 38199.72938, 11.235, 10.6586, 10.7174, 13.7592, 1.32919, 0.835571, 46.3701, 38201.096379999995, 11.1366, 10.5036, 10.9946, 13.8284, 1.1842, 1.02749, 46.4631
