a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
53059.528, 53060.54462220941, 53060.561233464425, 53061.761163528034, 53061.777828373226, 53062.394474359746, 53062.41111113225, 53063.411042044754, 53063.428019178624, 53065.57754949361, 2.859965950568873, -0.6741265604395603, -0.6286809120879122, 3.3539418911497925, -0.568901415841584, -0.447638217821782, 1.9343976830599234, -0.7337842000000002, -0.585951381818182, 2.7411346042233222, -0.6549040681818182, -0.5178126250000004, 5.816762564743703, -0.5115188854166667, -0.0011588470312499958, 53059.436434, 16.0861, 14.9165, 13.8461, 13.7197, -0.553228, -0.880196, 58.5684, 53060.448434, 15.7815, 14.336, 14.5493, 14.1456, -0.786074, -0.362843, 58.8123, 53060.465434, 15.8503, 14.3567, 14.5182, 14.0535, -0.83293, -0.41731, 58.7787, 53061.663434, 15.8208, 14.5433, 14.2184, 13.9614, -0.655267, -0.559662, 58.5439, 53061.682434, 15.8601, 14.678, 14.2494, 13.9844, -0.61553, -0.588125, 58.772, 53062.295434, 15.9289, 14.6573, 14.1667, 13.9269, -0.643909, -0.637189, 58.6798, 53062.314434, 15.9486, 14.5951, 14.1667, 13.8923, -0.694402, -0.635976, 58.6027, 53063.320434, 15.4179, 14.4085, 14.5286, 14.3873, -0.489724, -0.232522, 58.7423, 53063.340434, 15.4474, 14.45, 14.5389, 14.4103, -0.478378, -0.241691, 58.8466, 53065.480434000005, 15.359, 14.0768, 14.9629, 14.4333, -0.769868, -0.0100914, 58.832
53065.593, 53066.70958508917, 53066.72625658464, 53067.72617658539, 53067.74284138794, 53068.35945509578, 53068.37612234261, 53069.57604936049, 53069.59307142085, 53071.7758789665, 3.1560455763844617, -0.8944381836734692, -0.14080108061224483, 2.363838738553592, -0.6422561460674155, -0.7196287977528092, 1.9813362195561364, -0.9071256545454547, -0.7931386545454545, 3.2925554553882566, -0.84775265, -0.70915553, 5.909191187041229, -0.8834408697916674, -0.7231290572916659, 53065.499434000005, 15.3786, 14.0768, 14.9319, 14.4909, -0.740002, -0.00833273, 58.8782, 53066.615434, 15.6538, 14.5848, 14.3735, 14.019, -0.606984, -0.472296, 58.631, 53066.635434, 15.6931, 14.6159, 14.2908, 14.0074, -0.580354, -0.514625, 58.6071, 53067.631434, 16.1844, 14.8543, 14.0736, 13.5701, -0.781175, -0.867805, 58.6823, 53067.651434, 16.204, 14.8957, 14.0736, 13.5125, -0.796355, -0.898082, 58.6859, 53068.261434, 16.0075, 14.6055, 14.4045, 13.6967, -0.898354, -0.641705, 58.7142, 53068.295434, 16.0272, 14.5537, 14.3528, 13.7888, -0.867449, -0.623084, 58.7224, 53069.485434, 15.6439, 14.3878, 14.5596, 13.9729, -0.786665, -0.383991, 58.5643, 53069.501434000005, 15.6538, 14.3774, 14.5286, 13.9039, -0.812916, -0.410189, 58.4636, 53071.682434, 16.3023, 14.9994, 13.9082, 13.4089, -0.768581, -1.01962, 58.6188
53071.791, 53073.30756209272, 53073.32423433038, 53074.32416736721, 53074.34082744758, 53074.85746131094, 53074.874119629596, 53075.274091910986, 53075.29096839105, 53076.724000944596, 4.234947544765086, -0.7525699236641221, -0.943592755725191, 2.545465709852769, -1.1329864252873563, -0.6427253563218391, 1.6269067934638304, -1.1803865116279069, -0.4520741395348837, 1.2425776708477299, -0.8053631764705884, -0.481291411764706, 3.861931209162687, -0.4697762619047618, -0.3594885277777778, 53071.701434, 16.3514, 15.0305, 13.8978, 13.5355, -0.715469, -1.00703, 58.8153, 53073.215434, 16.3121, 14.7299, 14.1977, 13.4665, -0.985186, -0.863072, 58.7062, 53073.246434, 16.3023, 14.678, 14.2597, 13.4895, -1.01929, -0.825255, 58.7296, 53074.235434, 16.0566, 14.2012, 14.6734, 13.8118, -1.15631, -0.452666, 58.743, 53074.243434, 16.0566, 14.2012, 14.6734, 13.8118, -1.15631, -0.452666, 58.743, 53074.767434, 15.9879, 14.3878, 14.632, 13.8118, -1.02869, -0.492666, 58.8194, 53074.781434000004, 15.9879, 14.3878, 14.632, 13.8118, -1.02869, -0.492666, 58.8194, 53075.174434, 15.6832, 14.4604, 14.4769, 14.0995, -0.681297, -0.400338, 58.72, 53075.191434, 15.6832, 14.4811, 14.4562, 14.042, -0.68884, -0.426035, 58.6625, 53076.633434, 15.3983, 14.2738, 14.6113, 14.4563, -0.54455, -0.154342, 58.7397
53076.739, 53078.25558129271, 53078.27228225998, 53079.27216290954, 53079.288813989304, 53079.805477072776, 53079.82212570824, 53080.422075970004, 53080.438844305696, 53082.088612148465, 3.853298744974949, -0.5434945546874999, -0.3024858750000002, 2.751619068369277, -0.247372324137931, -0.27284175862068966, 1.043079746023514, -0.03921002025, -0.46595755000000005, 1.4834760229420527, -0.04953527884615388, -0.5835403653846153, 4.247910919940263, -0.3530368758620689, -0.14997933724137927, 53076.640434, 15.4474, 14.3049, 14.7354, 14.3758, -0.637984, -0.163373, 58.8634, 53078.162434, 15.5457, 14.5848, 14.4148, 14.1916, -0.504005, -0.389187, 58.7369, 53078.182434, 15.5457, 14.5433, 14.4665, 14.2261, -0.528559, -0.356305, 58.7816, 53079.182434, 15.241, 14.7402, 14.2908, 14.4218, -0.157492, -0.324241, 58.6938, 53079.197434, 15.241, 14.8232, 14.3011, 14.4794, -0.1018, -0.327243, 58.8447, 53079.709434000004, 15.359, 15.0823, 13.9495, 14.2376, 0.0048995, -0.576713, 58.6284, 53079.725434, 15.4081, 15.0927, 13.9392, 14.2376, -0.00721812, -0.594083, 58.6776, 53080.323434, 15.4474, 14.8024, 14.2701, 14.3182, -0.253588, -0.423591, 58.8381, 53080.342434, 15.3688, 14.7713, 14.3011, 14.3873, -0.217271, -0.370168, 58.8285, 53082.001434000005, 15.3393, 14.3774, 14.6113, 14.3643, -0.514944, -0.189424, 58.6923
53082.105, 53083.12156867472, 53083.138232444915, 53083.738215851314, 53083.75488368677, 53084.17151161652, 53084.188169056404, 53085.18808269703, 53085.20493582658, 53087.271283055234, 3.1800715519156664, -0.6441141235955054, -0.33653705617977514, 1.439786568597647, -0.6362720181818183, -0.5933613999999999, 0.9957041239932989, -0.5771756, -0.7413351714285715, 3.210280650156925, -0.2718158607142857, -1.3698021904761903, 5.645889904402667, -0.8031502555555559, -1.5553546666666649, 53082.007434, 15.3393, 14.3774, 14.6113, 14.3643, -0.514944, -0.189424, 58.6923, 53083.023434, 15.7324, 14.5951, 14.3942, 14.042, -0.633653, -0.482787, 58.7636, 53083.041434, 15.7225, 14.5433, 14.4562, 14.042, -0.677915, -0.451209, 58.764, 53083.647434, 15.811, 14.8024, 14.177, 13.8808, -0.555943, -0.653363, 58.6713, 53083.662434, 15.8601, 14.8024, 14.1873, 13.7427, -0.640996, -0.69953, 58.5926, 53084.072434, 16.0468, 15.0616, 13.8771, 13.6737, -0.506614, -0.909733, 58.6592, 53084.093434, 15.9977, 15.0616, 13.9495, 13.6852, -0.511314, -0.875198, 58.694, 53085.098434, 16.4595, 15.5591, 13.3911, 13.1787, -0.474826, -1.39502, 58.5885, 53085.118434, 16.3908, 15.5799, 13.4635, 13.1903, -0.462319, -1.36041, 58.6244, 53087.171434, 16.9509, 15.6421, 13.0809, 12.8104, -0.675084, -1.71882, 58.4843
53087.288, 53088.70458381374, 53088.72122075264, 53089.72115348232, 53089.73783002409, 53090.25444049428, 53090.27113629149, 53091.67102791672, 53091.68778586967, 53093.05426133422, 3.615110809996869, -0.3573857215999999, -1.600943200000001, 2.771058998504476, -0.4708772888888886, -1.6738823333333341, 1.2843296446342651, -0.6695735714285718, -1.621855714285715, 4.157239937648574, -0.4087765983606556, -0.9041084754098359, 3.809532982117275, -0.5631322833333333, -0.5067969666666667, 53087.201434, 16.9607, 15.6732, 13.1429, 12.8565, -0.671121, -1.69728, 58.6333, 53088.613434, 16.3809, 15.8287, 13.267, 13.3399, -0.203778, -1.42885, 58.8165, 53088.622434000004, 16.3121, 15.7976, 13.236, 13.2938, -0.194727, -1.42733, 58.6395, 53089.639434000004, 17.0913, 15.7768, 12.9982, 12.7644, -0.660169, -1.81788, 58.6307, 53089.639434000004, 17.0913, 15.7768, 12.9982, 12.7644, -0.660169, -1.81788, 58.6307, 53090.158434000004, 16.6364, 15.5073, 13.2981, 12.9946, -0.612874, -1.50191, 58.4364, 53090.172434, 16.6757, 15.497, 13.3187, 13.0636, -0.612189, -1.4833, 58.5551, 53091.574434, 16.1058, 15.1756, 13.7944, 13.524, -0.512177, -1.01441, 58.5998, 53091.588434000005, 16.204, 15.2067, 13.7737, 13.6161, -0.491045, -1.02573, 58.8006, 53092.964434, 15.7127, 14.564, 14.4148, 14.0535, -0.642626, -0.461761, 58.7451
53093.07, 53094.28658824153, 53094.3032679826, 53095.30318191755, 53095.31984778225, 53095.83646837069, 53095.85313781429, 53096.853069187506, 53096.86988001823, 53098.70293693329, 3.174782757639714, -0.38876957075471685, -0.5874698207547171, 2.6048891190522943, 0.4165765413793103, -0.18935701862068968, 1.4551043643827126, 0.5094660816326528, -0.25556581020408164, 2.855660603761509, 0.2296272664444444, -0.002615685555555493, 4.282210644416393, -0.3995734821428571, 0.4000997738095239, 53092.983434, 15.8208, 14.5018, 14.4769, 13.9729, -0.775428, -0.477988, 58.7724, 53094.191434, 15.2902, 15.0201, 14.0943, 14.2837, -0.0343576, -0.493881, 58.6883, 53094.210434, 15.3, 15.0098, 14.2287, 14.2952, -0.0950828, -0.455315, 58.8337, 53095.206434, 14.5532, 15.0098, 14.208, 15.1469, 0.592124, -0.0529522, 58.9179, 53095.226434000004, 14.563, 15.0098, 14.177, 15.0894, 0.577471, -0.0781077, 58.8391, 53095.749434000005, 14.8087, 15.1238, 14.0219, 14.8246, 0.475451, -0.277116, 58.779, 53095.755434, 14.8283, 15.2171, 13.9392, 14.8246, 0.541678, -0.326882, 58.8092, 53096.755434, 14.5728, 14.0976, 14.9526, 15.262, -0.0703961, 0.393355, 58.885, 53096.775434, 14.5139, 14.0665, 15.0043, 15.239, -0.0903845, 0.424043, 58.8236, 53098.615434, 15.015, 13.8799, 15.2421, 14.7095, -0.708495, 0.26936, 58.8465
53098.72, 53099.93657892094, 53099.95324914522, 53100.75318751842, 53100.76985698768, 53101.38647337864, 53101.40313179541, 53102.40305991385, 53102.42000194516, 53104.58623602148, 3.5833353505274204, -0.5164588058252427, 0.24673773786407754, 1.7591785522291392, -0.1625480656716418, 0.5237849850746269, 1.698512845322454, -0.058718899999999984, 0.3655796923076923, 2.554047824395814, 0.34111213516483513, 0.11138886417582415, 6.034107939017014, -0.3833512347368419, -0.33712837894736836, 53098.620434000004, 15.0838, 13.9006, 15.3248, 14.7326, -0.75178, 0.272593, 59.0418, 53099.840434, 14.5925, 13.9213, 15.2318, 15.2045, -0.296193, 0.489158, 58.95, 53099.868434, 14.5728, 13.9006, 15.1904, 15.1584, -0.299284, 0.478231, 58.8223, 53100.668434, 14.5532, 14.1183, 14.9939, 15.1814, -0.105084, 0.38334, 58.8468, 53100.686434, 14.5335, 14.0872, 14.9732, 15.193, -0.0963673, 0.394342, 58.7869, 53101.290434, 14.5925, 14.2945, 14.8595, 15.3196, 0.0686109, 0.328122, 59.0661, 53101.310434, 14.5434, 14.2427, 14.8078, 15.216, 0.0457078, 0.315696, 58.8098, 53102.326434, 14.9266, 15.1756, 13.9909, 14.698, 0.406602, -0.360587, 58.7911, 53102.326434, 14.9266, 15.1756, 13.9909, 14.698, 0.406602, -0.360587, 58.7911, 53104.499434000005, 15.4769, 14.1287, 14.8285, 14.3643, -0.770617, -0.105314, 58.7983
53104.603, 53106.11954359229, 53106.136215369246, 53107.7361222402, 53107.75275416262, 53108.16940116859, 53108.186083396584, 53109.18600802141, 53109.20277199753, 53110.869209254095, 4.432421696557145, -1.0555732824427482, -0.3552687198473283, 4.397511211974425, -0.5794234637681155, -0.756189927536232, 1.0764153715998077, -0.6841968461538463, -0.7929917692307694, 2.97879564872846, -1.182537767441861, -0.4057225697674418, 5.689415965307173, -1.0578957571428569, -0.04621951878571427, 53104.505434, 15.4769, 14.1287, 14.8285, 14.3643, -0.770617, -0.105314, 58.7983, 53106.027434, 15.8601, 14.5744, 14.3838, 13.9844, -0.716427, -0.527082, 58.8028, 53106.040434, 15.8699, 14.5744, 14.3425, 13.9614, -0.713469, -0.546518, 58.7482, 53107.652434, 16.0075, 14.8957, 14.0529, 13.6506, -0.645855, -0.818937, 58.6068, 53107.658434000004, 16.0075, 14.8957, 14.0529, 13.6506, -0.645855, -0.818937, 58.6068, 53108.075434, 15.978, 14.7506, 14.2287, 13.7773, -0.714608, -0.695335, 58.7346, 53108.093434, 15.9289, 14.7299, 14.2391, 13.8003, -0.697553, -0.669389, 58.6981, 53109.087434, 15.9977, 13.828, 15.0353, 13.9039, -1.40435, -0.226307, 58.7649, 53109.107434000005, 16.0075, 13.8488, 15.1283, 13.9384, -1.42079, -0.200998, 58.923, 53110.777434, 15.7422, 13.6726, 14.7664, 14.5024, -0.994183, -0.0373086, 58.6835
53110.885, 53111.90158452183, 53111.91824940965, 53112.91818904129, 53112.93485292242, 53113.35148560416, 53113.36816383519, 53114.98468229812, 53115.001554725764, 53116.984562640544, 3.025333592463958, -0.7463538705882349, 0.26650009552941145, 2.68262524911444, -1.147567697674418, 0.22020570600000003, 0.9690031121701311, -0.8956619166666666, 0.0998591766666667, 4.6822671679596, -0.9177401176470589, 0.34406177205882355, 5.691568384495674, -0.6022973179190753, 0.3453693913294799, 53110.786434, 15.752, 13.6415, 14.8905, 14.5369, -1.04732, 0.00865102, 58.8209, 53111.805434, 15.0936, 13.7244, 15.0146, 14.9858, -0.594231, 0.301525, 58.8184, 53111.829434, 15.1526, 13.6415, 15.0043, 14.9973, -0.645499, 0.308055, 58.7956, 53112.819434000005, 15.7029, 13.6726, 14.9009, 14.4333, -1.06366, -0.0105491, 58.7096, 53112.852434, 15.6931, 13.6933, 14.9526, 14.4218, -1.07662, -0.00306398, 58.7607, 53113.257434, 15.4376, 13.7451, 14.9215, 14.7326, -0.799422, 0.120181, 58.8368, 53113.274434, 15.3393, 13.8073, 14.9009, 14.7901, -0.697993, 0.138776, 58.8376, 53114.893434, 15.3491, 13.6622, 15.0146, 14.8477, -0.787225, 0.216805, 58.8736, 53114.913434, 15.3197, 13.7037, 14.9836, 14.7326, -0.794615, 0.176924, 58.7395, 53116.891434000005, 14.6416, 13.6, 15.2835, 15.4462, -0.372596, 0.632853, 58.9712
