a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
51799.48, 51800.59657880337, 51800.61325246634, 51801.613164479924, 51801.64650999003, 51802.26312997582, 51802.27978955893, 51803.479718965624, 51803.49734555875, 51804.87960720938, 3.4922379953807696, 0.3321442757439025, 1.3837579268292681, 2.688822620400262, 0.4309854325, 1.2084586249999998, 1.7148222784454847, 0.4411944181818181, 1.3487967272727268, 3.7258756155027983, 0.7605688409090909, 1.3531972727272732, 3.399839902736254, 0.29792878807339446, 1.74619366972477, 51799.388933999995, 13.5194, 13.7248, 15.3021, 16.449, 0.573072, 1.14593, 58.9952, 51800.502934, 13.3817, 13.6416, 15.3021, 16.5753, 0.650707, 1.23616, 58.9007, 51800.521934, 13.3522, 13.6832, 15.3435, 16.6212, 0.681639, 1.2532, 59.0001, 51801.532933999995, 13.5489, 13.3089, 15.7576, 16.5753, 0.243989, 1.38751, 59.1906, 51801.547933999995, 13.5784, 13.2153, 15.8197, 16.5753, 0.165772, 1.41954, 59.1887, 51802.16993399999, 13.4309, 13.6104, 15.4367, 16.736, 0.624365, 1.29987, 59.2139, 51802.19293399999, 13.3719, 13.6312, 15.271, 16.7016, 0.716332, 1.26395, 58.9756, 51803.38093399999, 13.5292, 13.2569, 15.799, 16.5294, 0.193697, 1.40633, 59.1145, 51803.415934, 13.5095, 13.2673, 15.8922, 16.6327, 0.210035, 1.45394, 59.3017, 51804.78993399999, 13.2047, 13.0281, 16.0061, 16.7934, 0.258625, 1.66856, 59.0323
51804.91, 51806.226579886235, 51806.24322878379, 51807.24316652562, 51807.259809853414, 51807.876461189044, 51807.89311910246, 51809.49300589709, 51809.510191790156, 51811.24284699008, 3.961866966977017, 0.41698472815534, 1.4752548543689326, 3.0440267508168355, 0.3785062631578947, 1.2544274736842105, 1.3747083500974357, 0.49190513636363653, 0.973231386363636, 4.619933911781013, 0.37116260975609766, 1.05999162601626, 5.18237026693604, 0.16814742061481472, 0.7720882708888889, 51804.82893399999, 13.1851, 13.0697, 16.0164, 16.7819, 0.275221, 1.66211, 59.0532, 51806.13993399999, 13.2736, 13.3401, 15.6955, 16.6442, 0.430495, 1.45692, 58.9533, 51806.15893399999, 13.2834, 13.3401, 15.799, 16.6671, 0.391248, 1.48317, 59.0896, 51807.165934, 13.7259, 13.9743, 15.1675, 16.0473, 0.478762, 0.894828, 58.9149, 51807.165934, 13.7259, 13.9743, 15.1675, 16.0473, 0.478762, 0.894828, 58.9149, 51807.77993399999, 13.7062, 13.756, 15.416, 16.2309, 0.365743, 1.06195, 59.109, 51807.799933999995, 13.6669, 13.6728, 15.416, 16.1506, 0.314286, 1.07634, 58.9062, 51809.396934, 13.4997, 13.6, 15.623, 16.2424, 0.305125, 1.21234, 58.9651, 51809.42393399999, 13.5489, 13.6, 15.6437, 16.2654, 0.284791, 1.20904, 59.058, 51811.146934, 14.7582, 14.6086, 14.4635, 15.0486, 0.184906, 0.0370091, 58.8789
51811.258, 51812.67456870154, 51812.69122924748, 51813.69115549328, 51813.70781558527, 51814.124433778255, 51814.14111808117, 51814.95772232759, 51814.974493657195, 51817.00758604596, 4.715583308325922, 0.47500037383177596, 0.9265541757009341, 2.28524148515971, 0.18821308260869563, 1.174916521739131, 1.0115155713922457, 0.07826779999999998, 1.12725, 2.3455474385294885, 0.11717308474576273, 0.6863804745762712, 5.741615250238443, 0.08575876196202534, 0.7550866708860762, 51811.174933999995, 14.6403, 14.5982, 14.4842, 15.0371, 0.217363, 0.072214, 58.7597, 51812.583933999995, 13.8045, 13.7872, 15.416, 16.0473, 0.259912, 0.98338, 59.0549, 51812.60193399999, 13.775, 13.6624, 15.447, 16.0817, 0.221339, 1.04076, 58.9661, 51813.59493399999, 13.6177, 13.3089, 15.7369, 16.2539, 0.0883222, 1.28932, 58.9174, 51813.612934, 13.5882, 13.2985, 15.7266, 16.1621, 0.0620008, 1.27654, 58.7753, 51814.026933999994, 13.8143, 13.6312, 15.4574, 16.0473, 0.172496, 1.03285, 58.9502, 51814.04693399999, 13.7947, 13.6, 15.5091, 15.9899, 0.12143, 1.04536, 58.8937, 51814.86493399999, 14.2961, 14.0575, 15.0743, 15.4963, 0.077793, 0.564362, 58.9242, 51814.896934, 14.306, 14.0055, 15.1054, 15.5078, 0.0432581, 0.585918, 58.9246, 51816.91293399999, 13.7259, 13.8183, 15.4056, 16.1047, 0.335097, 1.00739, 59.0545
51817.023, 51818.53955690741, 51818.55626188082, 51819.15617334345, 51819.17285248185, 51819.58946403859, 51819.60615543171, 51820.606097533804, 51820.62288983239, 51821.73933242234, 4.373726575484081, 0.39482536666666673, 0.8929243416666662, 1.6336619176867022, 0.5727877142857143, 0.9527506938775512, 1.1671565576839626, 0.7310950322580645, 0.845922258064516, 2.9102647833061264, 0.5830461839080461, 0.7375636942528738, 3.6757320564814937, 0.6261432183908048, 0.19920489011494213, 51816.939933999995, 13.598, 13.7248, 15.4574, 16.0473, 0.30455, 1.0663, 58.8274, 51818.451934, 13.6964, 13.9119, 15.3021, 16.1391, 0.44564, 0.973645, 59.0494, 51818.458933999995, 13.6964, 13.9119, 15.3021, 16.1391, 0.44564, 0.973645, 59.0494, 51819.064933999995, 13.6767, 14.1095, 15.0639, 16.1735, 0.653288, 0.877098, 59.0236, 51819.08293399999, 13.6374, 14.1615, 15.0329, 16.1276, 0.686419, 0.855251, 58.9593, 51819.507933999994, 13.6374, 14.1719, 15.1157, 16.2654, 0.711331, 0.905178, 59.1903, 51819.507933999994, 13.6374, 14.1719, 15.1157, 16.2654, 0.711331, 0.905178, 59.1903, 51820.513933999995, 14.6403, 14.9205, 14.2564, 15.2323, 0.531808, -0.0183088, 59.0494, 51820.53593399999, 14.6403, 14.8997, 14.246, 15.1864, 0.508612, -0.0273541, 58.9723, 51821.646934, 13.3522, 13.6728, 15.3124, 16.736, 0.738117, 1.27555, 59.0734
51821.756, 51822.77259783694, 51822.78928219168, 51823.78919906508, 51823.80587896215, 51824.42248679066, 51824.43915822634, 51824.85578654729, 51824.87258421768, 51826.18902545903, 2.958444182724033, 0.48345471794871786, 0.7233529743589743, 2.9352573731706055, 0.3755895827160493, 0.6887150370370368, 1.7195358957518203, 0.2732382173913043, 0.6936214347826086, 1.4805742363857255, 0.8398927352941177, 0.2997048647058823, 4.67074171400685, 0.20359695566037733, 0.94378827264151, 51821.67193399999, 13.3522, 13.6, 15.2814, 16.7016, 0.707543, 1.2804, 58.9351, 51822.67793399999, 13.8832, 14.2862, 14.7948, 15.9784, 0.672987, 0.662615, 58.9426, 51822.70093399999, 13.8832, 14.3174, 14.8362, 16.0014, 0.677291, 0.669971, 59.0381, 51823.697933999996, 14.2076, 13.9119, 15.1261, 15.6111, 0.0804067, 0.667107, 58.8567, 51823.71593399999, 14.2371, 13.9535, 15.1157, 15.6799, 0.118935, 0.662445, 58.9863, 51824.33293399999, 14.0208, 14.2758, 14.8258, 15.9899, 0.600159, 0.639215, 59.1124, 51824.341934, 13.9127, 14.2654, 14.8258, 15.9899, 0.642791, 0.670642, 58.9938, 51824.76093399999, 14.2371, 14.9517, 14.1011, 15.4045, 0.859499, 0.0809455, 58.6944, 51824.782933999995, 14.3256, 14.9933, 14.1218, 15.393, 0.823858, 0.0499427, 58.8337, 51826.09993399999, 13.598, 13.3713, 15.8404, 16.3113, 0.103202, 1.31487, 59.121
51826.205, 51827.621556440616, 51827.63820908587, 51828.654812340224, 51828.67147972658, 51829.08811741993, 51829.10479270698, 51829.50475880919, 51829.52171786677, 51831.071313771434, 4.053685729963231, 0.083966617706422, 1.0352791192660549, 2.854728584998522, 0.1384930260465116, 0.9955519418604654, 1.0137746362211897, 0.33680986060606066, 1.1397463636363643, 1.0827644643972743, 0.1311737741935484, 0.9442551290322578, 3.681925697381736, 0.1454788663793103, 0.968064706896552, 51826.117933999994, 13.5882, 13.3713, 15.8301, 16.2883, 0.102106, 1.30987, 59.0779, 51827.52993399999, 14.1093, 13.4336, 15.6334, 15.8751, -0.183722, 1.0073, 59.0514, 51827.543933999994, 14.1093, 13.4336, 15.7783, 15.8521, -0.254279, 1.03615, 59.1734, 51828.56193399999, 13.5882, 13.756, 15.4056, 16.2539, 0.430501, 1.09705, 59.0037, 51828.576934, 13.5292, 13.756, 15.3745, 16.1965, 0.445452, 1.09229, 58.8562, 51829.011933999995, 13.775, 13.4232, 15.5402, 16.1161, 0.0952214, 1.13621, 58.8546, 51829.011933999995, 13.775, 13.4232, 15.5402, 16.1161, 0.0952214, 1.13621, 58.8546, 51829.41493399999, 14.1486, 14.0055, 15.1364, 15.6455, 0.155234, 0.668805, 58.9361, 51829.43393399999, 14.1978, 14.0263, 15.0743, 15.5881, 0.145328, 0.621105, 58.8865, 51830.973933999994, 13.952, 13.9015, 15.1468, 15.7373, 0.22988, 0.77393, 58.7376
51831.088, 51832.30457942255, 51832.32124802152, 51832.72120991895, 51832.754567839234, 51833.171183497114, 51833.18785995117, 51834.18778077646, 51834.204735071675, 51835.504363292115, 3.03541583742042, 0.26861917391304346, 0.7894703369565217, 1.3315046418159318, 0.01863924235294118, 1.0406562352941173, 1.166326902077605, 0.03586471818181818, 0.9600451515151517, 2.967368879206172, 0.42902321794871806, 1.1308873717948718, 3.29865148197214, 0.3271009898989899, 0.9070127676767685, 51830.992933999994, 13.9422, 13.8183, 15.1571, 15.7603, 0.204232, 0.807009, 58.6779, 51832.22493399999, 13.8537, 13.6832, 15.3538, 16.0014, 0.202501, 0.972542, 58.892, 51832.22493399999, 13.8537, 13.6832, 15.3538, 16.0014, 0.202501, 0.972542, 58.892, 51832.629934, 13.952, 13.4232, 15.6644, 15.9325, -0.11052, 1.07382, 58.9721, 51832.657933999995, 13.9422, 13.444, 15.5816, 15.9554, -0.0527382, 1.05667, 58.9232, 51833.07793399999, 13.9323, 13.6312, 15.4677, 16.0358, 0.112978, 1.00056, 59.067, 51833.10593399999, 13.9323, 13.6936, 15.4781, 16.0817, 0.154123, 0.996999, 59.1857, 51834.09793399999, 13.9127, 13.8703, 15.095, 16.0243, 0.376457, 0.84962, 58.9023, 51834.10593399999, 13.952, 13.8807, 15.095, 15.8751, 0.301352, 0.800309, 58.8028, 51835.40893399999, 13.5095, 13.4544, 15.5505, 16.4261, 0.347978, 1.27568, 58.9406
51835.521, 51836.7542380428, 51836.77089484103, 51837.78749434765, 51837.8041526145, 51838.32078100011, 51838.337466366414, 51839.55405541113, 51839.57083241103, 51840.90392797044, 3.0773067512886207, 0.3307593157894736, 1.013918157894737, 2.7111740624534444, 0.30129694523809497, 0.8543278690476189, 1.470981693863601, 0.501803976744186, 0.8773515581395351, 3.5542478204642594, 0.411375144329897, 1.0018577525773191, 3.711688467619642, 0.24754710476190478, 1.1727222190476188, 51835.42593399999, 13.4604, 13.4336, 15.5609, 16.4031, 0.346369, 1.29209, 58.858, 51836.657933999995, 13.9717, 13.7352, 15.3331, 15.898, 0.139308, 0.896961, 58.938, 51836.670933999994, 14.0307, 13.7456, 15.3124, 15.8636, 0.112844, 0.865059, 58.9522, 51837.69693399999, 13.8832, 13.9951, 15.1261, 16.0817, 0.451702, 0.845248, 59.086, 51837.716934, 13.7848, 13.9223, 15.0847, 16.0243, 0.457838, 0.867564, 58.8161, 51838.22693399999, 13.7652, 14.0055, 15.0536, 16.1391, 0.56214, 0.870541, 58.9634, 51838.250933999996, 13.8242, 13.9743, 15.1778, 16.185, 0.48905, 0.90372, 59.1613, 51839.460933999995, 13.7259, 13.5272, 15.447, 16.1965, 0.233814, 1.11817, 58.8966, 51839.48693399999, 13.775, 13.6104, 15.4574, 16.1735, 0.233641, 1.07906, 59.0163, 51840.816933999995, 13.3719, 13.3817, 15.7162, 16.6442, 0.396574, 1.42272, 59.1139
51840.92, 51842.236541187085, 51842.2532149537, 51843.45313914095, 51843.4697877856, 51844.08645143709, 51844.10307596824, 51845.11968155041, 51845.13642304439, 51846.7195560385, 3.8251791679112737, 0.3597093823529411, 1.0120754215686274, 3.125244853448939, 0.23530677659574467, 1.0626078191489359, 1.4891198776135193, 0.26551737254901964, 1.1289419607843136, 3.017386031670641, 0.2665428987341771, 1.382876835443038, 3.911586306948983, 0.20084774966666666, 1.3055765083333333, 51840.82593399999, 13.3817, 13.3817, 15.7576, 16.6442, 0.374576, 1.42949, 59.1651, 51842.149933999994, 13.775, 13.8287, 15.3331, 16.1506, 0.368598, 0.984966, 59.0875, 51842.15893399999, 13.7554, 13.7768, 15.3124, 16.1735, 0.373831, 1.00491, 59.0181, 51843.37493399999, 13.7259, 13.6, 15.4677, 16.0243, 0.183079, 1.06248, 58.8179, 51843.37493399999, 13.7259, 13.6, 15.4677, 16.0243, 0.183079, 1.06248, 58.8179, 51843.98693399999, 13.5292, 13.5688, 15.6437, 16.4031, 0.337723, 1.25509, 59.1448, 51844.02093399999, 13.5489, 13.5064, 15.592, 16.3457, 0.301436, 1.24143, 58.993, 51845.024933999994, 13.7062, 13.8599, 15.3849, 16.1276, 0.379357, 1.00198, 59.0786, 51845.042934, 13.6865, 13.7872, 15.3124, 16.1506, 0.398216, 1.01532, 58.9367, 51846.62493399999, 13.5784, 13.3089, 15.8508, 16.2883, 0.071165, 1.33463, 59.0263
51846.736, 51847.75261136542, 51847.76924749625, 51848.76920185306, 51848.785865235695, 51849.202482261666, 51849.219160437235, 51850.83569901793, 51850.85253052455, 51853.435507143615, 2.9863410334883715, 0.12871265132467524, 1.5567709090909096, 2.6219243284868674, 0.06350732053846155, 1.446958846153846, 1.2500212987255162, 0.09578607419354841, 0.9877014838709676, 4.942013819008298, 0.32313839461538435, 1.046204161538461, 7.221376292413303, 0.2690534656565655, 1.4670825757575758, 51846.646934, 13.6177, 13.2985, 15.8094, 16.3342, 0.0870407, 1.32766, 59.0598, 51847.67193399999, 13.2736, 12.8514, 16.327, 16.7475, -0.000746548, 1.76089, 59.1995, 51847.67193399999, 13.2736, 12.8514, 16.327, 16.7475, -0.000746548, 1.76089, 59.1995, 51848.672933999995, 13.8143, 13.6312, 15.5713, 16.0932, 0.143281, 1.07061, 59.11, 51848.69093399999, 13.7259, 13.548, 15.5505, 16.0243, 0.125712, 1.09628, 58.8487, 51849.119933999995, 13.9815, 13.7248, 15.4263, 15.898, 0.091058, 0.919377, 59.0306, 51849.119933999995, 13.9815, 13.7248, 15.4263, 15.898, 0.091058, 0.919377, 59.0306, 51850.740933999994, 13.3522, 13.4128, 15.5816, 16.6786, 0.490299, 1.39647, 59.0253, 51850.773934, 13.3916, 13.4232, 15.6127, 16.6556, 0.454724, 1.38453, 59.0831, 51853.345934, 13.5882, 13.7248, 15.4367, 16.2768, 0.413689, 1.11828, 59.0265
