a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
61687.711, 61689.02760201521, 61689.044276820205, 61690.0442020347, 61690.06088538621, 61690.577509793104, 61690.59416078091, 61691.59408652931, 61691.6116255329, 61692.7606766051, 4.775885863031619, 0.5398016396396398, 0.1394355261261261, 3.4758677423382656, 0.4497222999999999, 0.05369425812500002, 1.662530626460506, 0.47544778260869575, 0.2207146739130435, 3.139018850259703, 0.4596101445783134, 0.03750582697590361, 3.591783195398688, 0.5059567128712871, -0.18369755881188118, 61687.6172015, 12.9802, 11.1269, 10.3528, 13.162, 0.501856, -0.186562, 47.6219, 61688.9372015, 12.7426, 10.9308, 10.7243, 13.2888, 0.394595, 0.106886, 47.6865, 61688.9622015, 12.7426, 11.003, 10.6624, 13.2773, 0.458908, 0.0610542, 47.6853, 61689.946201499995, 12.505, 10.8172, 10.8379, 13.5539, 0.538787, 0.336251, 47.714, 61689.9692015, 12.505, 10.8689, 10.8276, 13.5539, 0.570741, 0.316508, 47.7553, 61690.4882015, 12.6139, 10.8379, 10.7863, 13.3349, 0.406042, 0.211079, 47.5729, 61690.497201499995, 12.6139, 10.8379, 10.7863, 13.3349, 0.406042, 0.211079, 47.5729, 61691.5192015, 12.8317, 11.0443, 10.4663, 13.139, 0.466141, -0.0855249, 47.4813, 61691.5192015, 12.8317, 11.0443, 10.4663, 13.139, 0.466141, -0.0855249, 47.4813, 61692.662201499996, 13.0792, 11.3643, 10.167, 12.9661, 0.569725, -0.413156, 47.5766
61692.778, 61694.1945911714, 61694.2112929433, 61695.2111953077, 61695.2278501357, 61695.8444714627, 61695.8611328668, 61697.261052402304, 61697.278331894, 61698.4276221516, 3.8070096388159294, 0.5338472242990657, -0.1826911701869159, 3.523997792547516, 0.5819713, -0.19737607875000002, 2.301590948901358, 0.5450778979591836, -0.2650403673469388, 4.313263675874478, 0.5285517155172413, -0.2372055689655172, 3.949666482203679, 0.5882788144329896, -0.11837601910309278, 61692.68420149999, 13.0594, 11.3953, 10.105, 13.0237, 0.659129, -0.41797, 47.5834, 61694.111201499996, 12.8317, 11.065, 10.5179, 13.358, 0.561693, -0.00652224, 47.7725, 61694.1212015, 12.7525, 11.0959, 10.6418, 13.3695, 0.559539, 0.0510424, 47.8597, 61695.1152015, 13.1485, 11.3953, 10.136, 12.8854, 0.523579, -0.480084, 47.5652, 61695.13320149999, 13.1287, 11.4366, 10.0844, 12.92, 0.600934, -0.492184, 47.5697, 61695.747201499995, 13.0099, 11.1579, 10.425, 13.0353, 0.39798, -0.222818, 47.628, 61695.7652015, 13.0099, 11.2198, 10.4044, 13.0698, 0.458741, -0.237557, 47.7039, 61697.1632015, 12.8416, 11.065, 10.3631, 13.2427, 0.580376, -0.094952, 47.5124, 61697.181201499996, 12.7921, 11.065, 10.394, 13.2658, 0.602207, -0.0622612, 47.5169, 61698.334201499994, 12.7327, 11.0237, 10.5489, 13.358, 0.577015, 0.0473607, 47.6632
61698.444, 61699.9605600654, 61699.977224241906, 61700.5771824796, 61700.5938525503, 61701.210462309704, 61701.227148461505, 61702.2270705627, 61702.243977792605, 61703.81028525201, 5.171505958691863, 0.587105387096774, -0.2730502588709679, 2.0951816817738225, 0.6735698571428571, -0.258214387755102, 2.0630717678928105, 0.5600219411764708, -0.39872099999999994, 3.0563519293978945, 0.6151815500000001, -0.4288179999999998, 5.632075129719412, 0.6511269448818898, -0.7789514724409449, 61698.3502015, 12.703, 10.9927, 10.5386, 13.3925, 0.600362, 0.0741434, 47.6268, 61699.86420149999, 13.1782, 11.4366, 10.0018, 13.0814, 0.701216, -0.481654, 47.6979, 61699.8822015, 13.2574, 11.4469, 10.0534, 13.1275, 0.659636, -0.477206, 47.8852, 61700.48720149999, 13.0099, 11.1475, 10.3115, 13.1966, 0.536433, -0.204347, 47.6655, 61700.501201499996, 13.0594, 11.1166, 10.3115, 13.2081, 0.499955, -0.206425, 47.6956, 61701.1172015, 13.2574, 11.323, 9.9915, 12.9892, 0.55888, -0.504547, 47.5611, 61701.135201499994, 13.1782, 11.4159, 10.0121, 13.0237, 0.65572, -0.490737, 47.63, 61702.1302015, 13.1881, 11.3746, 10.0844, 13.0237, 0.59042, -0.457706, 47.6709, 61702.1492015, 13.1683, 11.3437, 10.105, 12.9776, 0.550443, -0.450463, 47.5946, 61703.7192015, 13.4059, 11.6636, 9.79539, 12.6664, 0.59368, -0.822956, 47.5314
61703.827, 61705.3435744334, 61705.3602508679, 61706.36017549269, 61706.3768254857, 61706.893449487296, 61706.9101251028, 61708.3100094465, 61708.3268160197, 61709.5599321373, 5.423511760715317, 0.5880155118110242, -0.8820501181102366, 3.578397917792204, 0.5811861604938272, -0.3499047172839506, 1.3887278716934386, 0.5705684117647061, -0.5122417647058825, 5.0150521855697034, 0.5693340272727271, -0.38322217272727277, 4.022179333267326, 0.5566494950495048, -0.2979116138613863, 61703.7382015, 13.4059, 11.6946, 9.79539, 12.6664, 0.609577, -0.832184, 47.5624, 61705.253201499996, 13.2277, 11.5398, 10.0225, 13.0583, 0.704253, -0.528772, 47.8483, 61705.2612015, 13.2277, 11.5398, 10.0225, 13.0583, 0.704253, -0.528772, 47.8483, 61706.27520149999, 13.3366, 11.3127, 9.9915, 12.7932, 0.409925, -0.58964, 47.434, 61706.2952015, 13.3069, 11.3746, 10.0225, 12.7702, 0.429389, -0.596825, 47.4742, 61706.7992015, 13.099, 11.3643, 10.105, 13.0353, 0.627843, -0.416886, 47.6036, 61706.825201499996, 13.0891, 11.3127, 10.0741, 13.0468, 0.629327, -0.404316, 47.5227, 61708.215201499996, 13.2475, 11.2714, 10.1876, 13.0353, 0.456369, -0.40721, 47.7418, 61708.2502015, 13.1683, 11.1992, 10.1773, 13.0929, 0.496677, -0.345512, 47.6376, 61709.4752015, 13.0297, 11.1269, 10.2289, 13.2312, 0.577256, -0.219413, 47.6167
61709.576, 61710.8926152316, 61710.909247827, 61711.909210452504, 61711.9258565217, 61712.5424537829, 61712.5591280261, 61713.5590689249, 61713.5759230038, 61715.008965193905, 4.089134768042925, 0.6110907641509433, -0.2861103679245283, 2.997501198688985, 0.5710683589743588, -0.3241731153846156, 2.191831108479386, 0.5280863076923079, -0.24633682692307687, 3.836088308602235, 0.5868746172839505, -0.25796565432098767, 4.772613680726458, 0.5584516034482759, -0.31620339655172397, 61709.482201499995, 13.0297, 11.1269, 10.2289, 13.2312, 0.577256, -0.219413, 47.6167, 61710.8072015, 13.0396, 11.1785, 10.1154, 13.1851, 0.635868, -0.289677, 47.5186, 61710.821201499995, 13.0594, 11.1992, 10.1154, 13.1966, 0.641674, -0.298478, 47.5705, 61711.8182015, 13.0594, 11.1269, 10.2702, 13.0929, 0.468034, -0.259699, 47.5494, 61711.8272015, 13.1089, 11.1579, 10.2289, 13.162, 0.515178, -0.275666, 47.6577, 61712.457201499994, 13.0693, 11.1785, 10.1463, 13.1505, 0.58544, -0.300027, 47.5447, 61712.4622015, 13.0495, 11.1579, 10.1463, 13.1851, 0.603253, -0.276393, 47.5388, 61713.4772015, 13.1188, 11.1269, 10.1773, 13.2312, 0.557131, -0.263533, 47.6542, 61713.4772015, 13.1188, 11.1269, 10.1773, 13.2312, 0.557131, -0.263533, 47.6542, 61714.9132015, 13.1485, 11.2198, 10.2083, 13.1275, 0.519076, -0.324688, 47.704
61715.025, 61716.441560898296, 61716.4582221179, 61717.8581303066, 61717.874772728595, 61718.2914221264, 61718.308086588004, 61719.3079975267, 61719.324793250606, 61721.3744930467, 4.80835293350167, 0.5325986101694915, -0.3244483050847458, 4.597598114596003, 0.5741250388349516, -0.38761733009708754, 1.2823841477154276, 0.5454986666666667, -0.2825338484848485, 3.6267560655470734, 0.5849090714285714, -0.5048435357142855, 6.476537611946335, 0.5820282269938654, -0.3623792539877302, 61714.93620149999, 13.2079, 11.292, 10.1154, 13.0237, 0.52084, -0.428496, 47.6391, 61716.3562015, 13.2673, 11.3333, 9.97086, 13.0698, 0.611329, -0.491161, 47.6413, 61716.372201499995, 13.2277, 11.1992, 10.0638, 13.139, 0.549373, -0.385517, 47.6296, 61717.7632015, 13.0693, 11.0546, 10.2289, 13.2197, 0.512952, -0.212956, 47.5725, 61717.7912015, 13.0693, 11.1063, 10.2908, 13.1851, 0.488546, -0.220239, 47.6515, 61718.196201499995, 13.1089, 11.1579, 10.1257, 13.162, 0.57056, -0.308821, 47.5545, 61718.2182015, 13.0792, 11.1579, 10.0844, 13.162, 0.608787, -0.312943, 47.4835, 61719.213201499995, 13.2574, 11.2714, 9.9915, 13.1044, 0.591543, -0.451317, 47.6247, 61719.2272015, 13.2574, 11.2714, 9.9915, 13.1044, 0.591543, -0.451317, 47.6247, 61721.2782015, 13.1386, 11.0959, 10.0844, 13.2081, 0.568655, -0.297309, 47.5271
61721.392, 61722.908577675305, 61722.9252348425, 61723.525174687806, 61723.5418527347, 61723.9584846791, 61723.9751527236, 61724.975082367804, 61724.992016777, 61726.708288818205, 4.732062116555457, 0.6322449915254237, -0.16059791101694917, 2.2086056443878688, 0.54165225, -0.10584892500000004, 1.5838793461718423, 0.64995, -0.26040136363636357, 3.2131616625212365, 0.6659641125, -0.32335441249999997, 5.3270308477816, 0.6438533358208955, -0.6709026119402982, 61721.3032015, 13.1485, 11.0856, 10.136, 13.2197, 0.536224, -0.276885, 47.5898, 61722.8122015, 12.9703, 10.9927, 10.3837, 13.4271, 0.557736, -0.0477764, 47.7739, 61722.8392015, 12.9703, 10.9824, 10.3218, 13.4271, 0.585628, -0.064078, 47.7016, 61723.427201499995, 13.0495, 11.0546, 10.2495, 13.3349, 0.571683, -0.163463, 47.6886, 61723.4432015, 13.0495, 11.0546, 10.2495, 13.3349, 0.571683, -0.163463, 47.6886, 61723.8602015, 13.2079, 11.1579, 9.98118, 13.1851, 0.60688, -0.37854, 47.532, 61723.8772015, 13.2079, 11.1579, 9.98118, 13.1851, 0.60688, -0.37854, 47.532, 61724.8942015, 13.1881, 11.1888, 10.0431, 13.0353, 0.523049, -0.410466, 47.4553, 61724.8942015, 13.1881, 11.1888, 10.0431, 13.0353, 0.523049, -0.410466, 47.4553, 61726.618201499994, 13.297, 11.3333, 10.0431, 12.8854, 0.461856, -0.536757, 47.5589
61726.724, 61727.74065745241, 61727.7572856545, 61728.7572251532, 61728.7738733044, 61729.2905108634, 61729.3071754452, 61730.7070682067, 61730.723873564304, 61732.2903000728, 3.5142503353903414, 0.5879988271604938, -0.5791878641975311, 3.61004302393733, 0.5897424878048778, -0.6540796219512192, 1.7726310922154682, 0.48745553658536583, -0.6808818780487803, 4.75288629805537, 0.6067141759259257, -0.5718640277777778, 5.111796220444169, 0.6173933955223884, -0.5194932089552239, 61726.6302015, 13.3069, 11.323, 10.0534, 12.9085, 0.457603, -0.525731, 47.5918, 61727.652201499994, 13.3366, 11.4778, 9.90893, 12.8854, 0.586921, -0.636474, 47.6088, 61727.6702015, 13.3267, 11.5088, 9.90893, 12.92, 0.625807, -0.631479, 47.6645, 61728.6612015, 13.2673, 11.3746, 10.1566, 12.9431, 0.467986, -0.484561, 47.7416, 61728.677201499995, 13.2871, 11.3437, 10.136, 12.8854, 0.422826, -0.506595, 47.6522, 61729.200201499996, 13.3564, 11.5398, 9.86764, 12.7586, 0.565174, -0.716479, 47.5225, 61729.213201499995, 13.3366, 11.612, 9.81603, 12.7586, 0.640741, -0.74931, 47.5233, 61730.6152015, 13.2376, 11.3127, 10.0018, 12.9431, 0.534946, -0.507033, 47.4952, 61730.6292015, 13.2376, 11.3127, 10.0018, 12.9431, 0.534946, -0.507033, 47.4952, 61732.20120149999, 13.0693, 11.2301, 10.0431, 13.1966, 0.691172, -0.334368, 47.5391
61732.307, 61733.823559568, 61733.840218476296, 61734.840151519005, 61734.856827263095, 61735.2734468294, 61735.290112912, 61735.690145446, 61735.7070055113, 61737.3233012997, 4.330678622276357, 0.6035849829059826, -0.28834847350427345, 3.276754939037052, 0.5109541538461538, -0.41578155128205113, 1.3970442485181542, 0.4500351818181818, -0.27974072727272725, 1.3243719466932597, 0.4969233939393939, -0.4685115757575756, 4.6014420354980565, 0.6156349682539685, -0.603167531746032, 61732.2122015, 13.1485, 11.2714, 10.0947, 13.162, 0.624102, -0.365954, 47.6767, 61733.730201499995, 13.099, 11.2198, 10.167, 13.1044, 0.555903, -0.330139, 47.5902, 61733.745201499994, 13.0891, 11.2404, 10.2392, 13.1159, 0.538978, -0.306509, 47.6847, 61734.7592015, 12.9802, 11.0443, 10.3631, 13.139, 0.44187, -0.164893, 47.5266, 61734.7592015, 12.9802, 11.0443, 10.3631, 13.139, 0.44187, -0.164893, 47.5266, 61735.183201499996, 13.099, 11.2404, 10.2495, 12.9892, 0.46294, -0.347036, 47.5781, 61735.20120149999, 13.2079, 11.3024, 10.2186, 12.9661, 0.441331, -0.416902, 47.695, 61735.5982015, 13.2079, 11.3643, 10.0947, 12.9431, 0.527573, -0.483444, 47.61, 61735.6192015, 13.2475, 11.292, 10.0638, 12.9776, 0.503558, -0.472309, 47.581, 61737.2272015, 13.0594, 11.323, 10.0741, 13.2081, 0.733075, -0.346234, 47.6646
61737.341, 61738.7576003355, 61738.774347743296, 61739.7741393841, 61739.7908608285, 61740.3074860459, 61740.324142117504, 61740.924093153, 61740.9409033091, 61742.8239578242, 4.6270377550657935, 0.6211907606837604, -0.4195773760683761, 3.0916044029608014, 0.5880023815789478, -0.5050178289473686, 1.5102867665494295, 0.5886881500000002, -0.40716554999999993, 2.032831497678061, 0.5375561999999999, -0.3086045777777777, 6.7726664976173865, 0.60302102739726, -0.41523688972602724, 61737.24120149999, 13.0594, 11.323, 10.0741, 13.2081, 0.733075, -0.346234, 47.6646, 61738.66720149999, 13.1287, 11.2714, 10.0018, 13.1736, 0.690705, -0.386146, 47.5755, 61738.692201499995, 13.099, 11.2301, 10.0947, 13.1851, 0.641409, -0.330607, 47.6089, 61739.690201499994, 13.2178, 11.2817, 10.0844, 13.139, 0.585932, -0.401118, 47.7229, 61739.6972015, 13.2277, 11.354, 10.0018, 13.162, 0.673607, -0.445436, 47.7456, 61740.211201499995, 13.198, 11.2095, 10.0121, 13.1159, 0.586531, -0.403724, 47.5356, 61740.230201499995, 13.1287, 11.1888, 10.0638, 13.0814, 0.567666, -0.370535, 47.4627, 61740.836201499995, 13.2079, 11.1682, 10.1257, 13.1851, 0.534561, -0.335104, 47.6869, 61740.8412015, 13.2574, 11.1992, 10.1773, 13.1159, 0.460929, -0.365452, 47.7498, 61742.724201499994, 12.8911, 10.9824, 10.3734, 13.3695, 0.570911, -0.0411361, 47.6164
