a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
67473.037, 67474.5535869959, 67474.5702937534, 67475.57019973709, 67475.58683835389, 67476.1034699265, 67476.1201264339, 67476.7200899445, 67476.7369127917, 67479.1365568264, 4.673331663211306, 0.8931520743801651, 0.9296960661157031, 3.0253346516560846, 0.9685669240506334, 0.8413338101265818, 1.7385092144925625, 0.79896505, 0.9601473749999998, 1.709120471884646, 0.8710075, 0.8250281399999997, 6.695129569925134, 0.9219020862944164, 0.39245700401015216, 67472.9460695, 12.0458, 13.7938, 13.9522, 14.446, 1.03334, 0.707586, 54.2377, 67474.4580695, 11.9965, 13.8866, 14.0139, 14.1108, 0.91975, 0.622582, 54.0079, 67474.4790695, 12.0064, 13.8866, 13.9316, 14.2495, 1.01627, 0.634705, 54.074, 67475.4760695, 11.7798, 13.5155, 14.3228, 14.5731, 0.916141, 0.996641, 54.1912, 67475.4960695, 11.7995, 13.5258, 14.2816, 14.55, 0.920731, 0.971151, 54.1569, 67476.0060695, 11.9177, 13.4639, 14.4155, 14.4344, 0.721481, 0.959292, 54.2315, 67476.03506950001, 11.9571, 13.4845, 14.2508, 14.3651, 0.759241, 0.880771, 54.0575, 67476.6250695, 11.898, 13.6082, 14.1066, 14.3304, 0.896314, 0.814943, 53.9433, 67476.6510695, 11.8783, 13.5979, 14.086, 14.3997, 0.942016, 0.836552, 53.962, 67479.0420695, 12.4003, 14.2784, 13.53, 13.9028, 1.0399, 0.209033, 54.1115
67479.152, 67480.4685764455, 67480.4852550263, 67481.8851500015, 67481.9017852213, 67482.41847542381, 67482.4350879852, 67483.4350296303, 67483.4518148851, 67485.53486860081, 3.885103155595986, 1.0712375188679244, 0.512483962264151, 4.08426631709552, 1.029510954954955, 0.40207882882882895, 1.6775037316830255, 0.963557976190476, 0.40442176190476176, 2.750700366167173, 0.9805145000000003, 0.4204528500000001, 6.325316159686243, 0.9462756331360945, 0.551718106508876, 67479.0550695, 12.3806, 14.2165, 13.4991, 13.8681, 1.02145, 0.214049, 53.9644, 67480.3700695, 12.1443, 13.9794, 13.8286, 14.1802, 1.00988, 0.522358, 54.1324, 67480.4040695, 12.1246, 14.0103, 13.8698, 14.2379, 1.0388, 0.545558, 54.2426, 67481.8250695, 12.2723, 14.1443, 13.7462, 13.9143, 0.943166, 0.345041, 54.0772, 67481.8250695, 12.2723, 14.1443, 13.7462, 13.9143, 0.943166, 0.345041, 54.0772, 67482.3210695, 12.292, 14.0619, 13.7977, 14.0184, 0.918639, 0.40489, 54.1699, 67482.3510695, 12.2428, 14.1237, 13.8389, 13.9259, 0.908887, 0.387479, 54.1313, 67483.3370695, 12.2132, 14.1237, 13.9419, 14.0646, 0.935364, 0.460823, 54.3434, 67483.3520695, 12.2132, 14.1237, 13.9419, 14.0646, 0.935364, 0.460823, 54.3434, 67485.4380695, 11.8586, 13.7526, 14.0345, 14.3419, 1.01938, 0.768301, 53.9877
67485.553, 67486.7695555455, 67486.7862497511, 67487.3861848241, 67487.4028481607, 67487.9194819146, 67487.9361490288, 67488.9527368, 67488.969502138, 67490.4192046087, 3.1484485586412707, 1.0392177525773199, 0.7037975463917525, 1.5677032941893438, 1.0061733529411765, 0.6614323333333331, 1.5926172012284983, 0.9491072999999997, 0.6747663000000002, 2.92859359255846, 0.9700316352941177, 0.7723641176470585, 4.090275535473568, 0.9840754672131149, 1.247688163934427, 67485.4570695, 11.898, 13.7423, 14.0963, 14.3535, 0.971264, 0.779119, 54.0901, 67486.67106950001, 12.0458, 13.9381, 13.8801, 14.2148, 1.02957, 0.585528, 54.0788, 67486.6920695, 12.0162, 13.9278, 13.8801, 14.1686, 1.01872, 0.584691, 53.9927, 67487.2870695, 11.9965, 13.8763, 13.9933, 14.1917, 0.961068, 0.641599, 54.0579, 67487.3160695, 11.9571, 13.9278, 13.9933, 14.2957, 1.04897, 0.665658, 54.174, 67487.83406950001, 11.898, 13.7938, 14.0654, 14.3651, 1.0141, 0.759012, 54.1223, 67487.8480695, 11.898, 13.7938, 14.0654, 14.3651, 1.0141, 0.759012, 54.1223, 67488.85306950001, 12.0064, 13.8144, 14.1272, 14.1686, 0.854385, 0.686014, 54.1166, 67488.87206950001, 11.967, 13.7938, 14.1581, 14.2495, 0.885317, 0.732933, 54.1684, 67490.3240695, 11.1396, 12.8144, 14.8995, 15.3589, 0.984222, 1.74434, 54.2125
67490.435, 67491.7515868268, 67491.7682530953, 67492.7848598177, 67492.8015062645, 67493.2181350181, 67493.2347964589, 67493.6514404319, 67493.6683218245, 67495.7346216442, 3.583968905287445, 0.9898301100917435, 1.5754277064220186, 2.7541466914506705, 0.9930640952380947, 1.2813599999999996, 1.3869059086366757, 1.0316977179487181, 1.1233809743589749, 1.2814977576065962, 1.0298693235294116, 0.9208714411764705, 5.7091002286195645, 1.0628435792682924, 1.1259429939024392, 67490.34906950001, 11.1396, 12.8454, 14.8274, 15.3589, 1.03251, 1.71714, 54.1713, 67491.6590695, 11.376, 13.2062, 14.4979, 15.0007, 1.07847, 1.36362, 54.0808, 67491.6780695, 11.4548, 13.1959, 14.5906, 15.0122, 0.996596, 1.36916, 54.2535, 67492.69406950001, 11.6025, 13.4124, 14.4361, 14.758, 0.983098, 1.1564, 54.209, 67492.7040695, 11.5927, 13.4639, 14.4876, 14.8158, 1.0115, 1.17184, 54.36, 67493.1290695, 11.7207, 13.5361, 14.2199, 14.6077, 1.01842, 0.990338, 54.0844, 67493.13706950001, 11.7207, 13.5361, 14.2199, 14.6077, 1.01842, 0.990338, 54.0844, 67493.55406950001, 11.8389, 13.6804, 14.1169, 14.55, 1.04941, 0.871307, 54.1862, 67493.5700695, 11.7601, 13.6495, 14.0963, 14.6424, 1.12444, 0.922217, 54.1483, 67495.6400695, 11.445, 13.299, 14.4979, 14.8389, 1.01469, 1.27388, 54.0807
67495.754, 67496.97061422121, 67496.9872748162, 67497.3872366212, 67497.4039006133, 67498.0205212514, 67498.0371925378, 67499.0538006663, 67499.07123222359, 67500.7369558901, 3.797934720935342, 1.0607451414141411, 1.2014926161616166, 1.1101330294498777, 1.0121277297297298, 0.8370836756756753, 1.7460242673888806, 1.075430754716981, 0.972921188679245, 2.8131091482510113, 0.9812396363636361, 0.9961420454545457, 4.887283207518286, 1.0818748819444446, 1.5064343749999998, 67495.6620695, 11.445, 13.2577, 14.5082, 14.8851, 1.01196, 1.30063, 54.096, 67496.8750695, 11.7798, 13.6701, 14.1684, 14.4806, 1.01781, 0.887005, 54.0989, 67496.9000695, 11.8291, 13.6907, 14.1787, 14.5269, 1.01881, 0.881247, 54.2253, 67497.2940695, 11.7404, 13.6495, 14.1478, 14.5731, 1.0785, 0.923368, 54.1108, 67497.3200695, 11.6813, 13.6392, 14.2302, 14.654, 1.09845, 0.986157, 54.2047, 67497.9300695, 11.6518, 13.6598, 14.2508, 14.6771, 1.12203, 1.00008, 54.2394, 67497.94406950001, 11.6912, 13.5773, 14.2302, 14.6193, 1.05107, 0.992543, 54.118, 67498.9650695, 11.5927, 13.5567, 14.4052, 14.6771, 1.03071, 1.0878, 54.2317, 67498.9840695, 11.5927, 13.5464, 14.3949, 14.7233, 1.05152, 1.10007, 54.2573, 67500.64106950001, 10.9229, 12.7835, 14.9612, 15.6941, 1.19267, 1.9174, 54.3618
67500.752, 67501.9686004077, 67501.98524077589, 67502.9851723145, 67503.001835341, 67503.51846357659, 67503.5351593679, 67504.95170059949, 67504.9685751628, 67506.51823464959, 3.583761367576956, 1.1833627999999998, 1.6797641999999997, 2.690523198755456, 1.1630482142857144, 1.5581817857142861, 1.4083416153240647, 1.10794880952381, 1.4668107142857143, 3.764366850435353, 1.1761391735537194, 1.5394818181818182, 4.128484623682322, 1.1708556923076912, 1.4527631538461545, 67500.66406950001, 10.9426, 12.7938, 14.9509, 15.567, 1.13686, 1.8749, 54.2544, 67501.8880695, 11.2972, 13.2474, 14.5597, 15.1856, 1.18628, 1.4369, 54.2899, 67501.8880695, 11.2972, 13.2474, 14.5597, 15.1856, 1.18628, 1.4369, 54.2899, 67502.8880695, 11.2283, 13.0619, 14.6935, 15.2203, 1.08863, 1.55625, 54.2039, 67502.91006950001, 11.3169, 13.0928, 14.7141, 15.2203, 1.0498, 1.52491, 54.3441, 67503.4260695, 11.2381, 13.2887, 14.5597, 15.1162, 1.20249, 1.42496, 54.2027, 67503.44406950001, 11.2775, 13.299, 14.5906, 15.0353, 1.13752, 1.39738, 54.2024, 67504.86106950001, 11.248, 13.2062, 14.57, 15.0931, 1.1463, 1.44379, 54.1172, 67504.8790695, 11.2283, 13.2165, 14.5803, 15.0931, 1.15539, 1.44922, 54.1182, 67506.4260695, 11.1495, 13.1546, 14.6729, 15.3589, 1.23821, 1.5812, 54.336
67506.534, 67507.8505710469, 67507.8672397222, 67508.8838224754, 67508.9005050487, 67509.4171247143, 67509.4337959056, 67510.4503896356, 67510.4673116123, 67512.283571468, 4.081938446968778, 1.2648107142857141, 1.6390435714285714, 2.9457713349609698, 1.2278118823529414, 1.3485052941176472, 1.5313991660457837, 1.1394365116279068, 1.2927853488372096, 2.894117426641082, 1.1275393181818176, 1.1686207954545451, 4.9820365298949145, 1.2244365189873412, 1.5460895569620254, 67506.4540695, 11.1396, 13.134, 14.5906, 15.278, 1.23835, 1.55007, 54.1422, 67507.7600695, 11.2086, 13.299, 14.5391, 15.1625, 1.25154, 1.43721, 54.2091, 67507.77006950001, 11.2086, 13.299, 14.5391, 15.1625, 1.25154, 1.43721, 54.2091, 67508.79606950001, 11.3859, 13.3299, 14.5288, 15.0238, 1.12361, 1.33691, 54.2683, 67508.80406950001, 11.4253, 13.3608, 14.5185, 15.0585, 1.13844, 1.32191, 54.363, 67509.3270695, 11.4351, 13.4124, 14.4773, 14.8736, 1.09484, 1.24636, 54.1983, 67509.3370695, 11.4647, 13.4742, 14.5185, 14.8504, 1.0779, 1.22359, 54.3078, 67510.3640695, 11.4351, 13.4536, 14.3228, 14.8851, 1.19267, 1.19764, 54.0967, 67510.36806950001, 11.3366, 13.4742, 14.3743, 14.8736, 1.21944, 1.23117, 54.0587, 67512.1880695, 10.9229, 12.9381, 14.9303, 15.5901, 1.22971, 1.83684, 54.3815
67512.3, 67513.8165711209, 67513.83326108381, 67514.84985500411, 67514.8665160643, 67515.4831184312, 67515.5164765936, 67515.916697384, 67515.9332077891, 67517.4663092424, 4.402925189589017, 1.3033376153846155, 1.7728454615384612, 2.420383037302373, 1.2926623255813954, 1.8370005813953487, 1.8472813800762722, 1.2145378846153845, 1.6124773076923082, 1.074946336573166, 1.3445056249999996, 1.5510103124999999, 4.438486493126716, 1.208113064516129, 1.524348064516129, 67512.2000695, 10.8835, 12.9278, 14.9098, 15.6363, 1.27436, 1.85844, 54.3574, 67513.7440695, 10.982, 13.0928, 14.7553, 15.4283, 1.28262, 1.68879, 54.2584, 67513.7440695, 10.982, 13.0928, 14.7553, 15.4283, 1.28262, 1.68879, 54.2584, 67514.7570695, 11.051, 12.9897, 14.8892, 15.4283, 1.13958, 1.73206, 54.3581, 67514.7720695, 11.1002, 12.9897, 14.7347, 15.3705, 1.16489, 1.6649, 54.1951, 67515.3850695, 11.1593, 13.2371, 14.5803, 15.2549, 1.26885, 1.50431, 54.2316, 67515.42506950001, 11.1593, 13.2474, 14.5494, 15.2549, 1.28832, 1.49348, 54.211, 67515.8280695, 11.0017, 13.2474, 14.7038, 15.4283, 1.36543, 1.62269, 54.3813, 67515.8370695, 11.0017, 13.2474, 14.7038, 15.4283, 1.36543, 1.62269, 54.3813, 67517.36806950001, 10.9131, 12.9485, 14.8789, 15.4514, 1.20309, 1.7905, 54.1918
67517.483, 67518.5163101182, 67518.53296781669, 67519.5495506051, 67519.56622123609, 67520.0828529638, 67520.09951047189, 67521.71606358959, 67521.7327925156, 67523.7325995249, 2.973717892380563, 1.2022477906976745, 1.6685556976744182, 2.4904270068853434, 1.1879227160493835, 1.3936541975308638, 1.2925483364077592, 1.128076976744186, 1.3647213953488373, 4.758635097821538, 1.1673295384615388, 1.6230665384615377, 5.691098201842502, 1.2076762576687117, 1.786507055214724, 67517.3920695, 11.0017, 13.0825, 14.9098, 15.4167, 1.18897, 1.72087, 54.4107, 67518.4280695, 11.1002, 13.299, 14.6317, 15.1394, 1.24901, 1.4875, 54.1703, 67518.4420695, 11.1002, 13.299, 14.6317, 15.1394, 1.24901, 1.4875, 54.1703, 67519.4540695, 11.051, 13.2887, 14.7965, 15.2665, 1.24427, 1.57805, 54.4026, 67519.48606950001, 11.1298, 13.3402, 14.6317, 15.1971, 1.27803, 1.48039, 54.2989, 67519.9940695, 11.1396, 13.1753, 14.7141, 15.1278, 1.13066, 1.53084, 54.1568, 67520.0140695, 11.1495, 13.2165, 14.7759, 15.0816, 1.09394, 1.51913, 54.2234, 67521.6330695, 11.179, 13.2474, 14.7553, 15.1971, 1.15405, 1.5243, 54.3789, 67521.6330695, 11.179, 13.2474, 14.7553, 15.1971, 1.15405, 1.5243, 54.3789, 67523.6340695, 10.6767, 12.5773, 15.0951, 15.775, 1.19194, 2.11072, 54.1241
67523.75, 67525.1665574308, 67525.1832252956, 67525.7832103086, 67525.7998421914, 67526.3164820239, 67526.3331386265, 67527.3497500321, 67527.3665201379, 67529.1162729397, 3.4404476880578185, 1.2340610280373836, 1.9480588785046733, 1.7833317286681416, 1.2036589999999996, 1.6868506000000003, 1.4683196423491967, 1.196048055555556, 1.3908311111111107, 2.724987856156018, 1.2008643902439025, 1.5764668292682928, 4.766007875005548, 1.2541705594405592, 1.7088924475524476, 67523.6520695, 10.6472, 12.6598, 15.126, 15.8328, 1.25282, 2.11509, 54.2657, 67525.0740695, 11.0116, 12.866, 14.92, 15.5092, 1.12487, 1.80962, 54.3068, 67525.09206950001, 11.0116, 12.866, 14.92, 15.5092, 1.12487, 1.80962, 54.3068, 67525.6920695, 11.1396, 13.2577, 14.6729, 15.3012, 1.26276, 1.53851, 54.3714, 67525.7060695, 11.1692, 13.1134, 14.6523, 15.1971, 1.14952, 1.54259, 54.1321, 67526.2420695, 11.2086, 13.433, 14.5906, 14.9313, 1.18401, 1.35155, 54.1635, 67526.2420695, 11.2086, 13.433, 14.5906, 14.9313, 1.18401, 1.35155, 54.1635, 67527.2530695, 11.0411, 13.2474, 14.745, 15.278, 1.26093, 1.58377, 54.3116, 67527.2720695, 11.0608, 13.2577, 14.7038, 15.3012, 1.28593, 1.57015, 54.3235, 67529.0260695, 10.9426, 13.0515, 14.848, 15.463, 1.25397, 1.74479, 54.3051
